Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Auchencorth Moss",,"Bournemouth",,"Brighton Preston Park",,"Chilbolton Observatory",,"Inverness",,"London Marylebone Road",,"London N. Kensington",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,55.792160,,50.739570,,50.840836,,51.149617,,57.481308,,51.522530,,51.521050,,51.494670,,52.271886,,53.042282,,
Longitude,-3.242900,,-1.826744,,-0.147572,,-1.438228,,-4.241451,,-0.154611,,-0.213419,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,Central Scotland,,South West,,South East,,South East,,Highland,,Greater London,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,#N/A,,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Midlothian",,"Bournemouth",,"Brighton",,"Test Valley",,"Highland",,"Westminster",,"Kensington",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2016-07-24,0.958,V ugm-3 (GRAV EMFAB),4.042,V ugm-3 (GRAV EMFAB),5.5,V ugm-3 (GRAV EMFAB),4.643,V ugm-3 (GRAV EMFAB),2.042,V ugm-3 (GRAV EMFAB),11.381,V ugm-3 (GRAV EMFAB),3.835,V ugm-3 (GRAV EMFAB),4.042,V ugm-3 (GRAV EMFAB),3.583,V ugm-3 (GRAV EMFAB),3.499,V ugm-3 (GRAV EMFAB)
2016-07-25,0.875,V ugm-3 (GRAV EMFAB),3.25,V ugm-3 (GRAV EMFAB),5.333,V ugm-3 (GRAV EMFAB),2.726,V ugm-3 (GRAV EMFAB),2.625,V ugm-3 (GRAV EMFAB),8.159,V ugm-3 (GRAV EMFAB),3.123,V ugm-3 (GRAV EMFAB),4.292,V ugm-3 (GRAV EMFAB),3.542,V ugm-3 (GRAV EMFAB),2.96,V ugm-3 (GRAV EMFAB)
2016-07-26,1.375,V ugm-3 (GRAV EMFAB),2.656,V ugm-3 (GRAV EMFAB),3.667,V ugm-3 (GRAV EMFAB),3.226,V ugm-3 (GRAV EMFAB),2.25,V ugm-3 (GRAV EMFAB),15.816,V ugm-3 (GRAV EMFAB),4.865,V ugm-3 (GRAV EMFAB),4.792,V ugm-3 (GRAV EMFAB),3.75,V ugm-3 (GRAV EMFAB),3.084,V ugm-3 (GRAV EMFAB)
2016-07-27,1.597,V ugm-3 (GRAV EMFAB),1.333,V ugm-3 (GRAV EMFAB),6.042,V ugm-3 (GRAV EMFAB),2.643,V ugm-3 (GRAV EMFAB),3.125,V ugm-3 (GRAV EMFAB),12.092,V ugm-3 (GRAV EMFAB),4.376,V ugm-3 (GRAV EMFAB),4.667,V ugm-3 (GRAV EMFAB),2.629,V ugm-3 (GRAV EMFAB),1.909,V ugm-3 (GRAV EMFAB)
2016-07-28,1.292,V ugm-3 (GRAV EMFAB),2.365,V ugm-3 (GRAV EMFAB),4.167,V ugm-3 (GRAV EMFAB),3.351,V ugm-3 (GRAV EMFAB),3.833,V ugm-3 (GRAV EMFAB),11.172,V ugm-3 (GRAV EMFAB),5.021,V ugm-3 (GRAV EMFAB),3.708,V ugm-3 (GRAV EMFAB),2.958,V ugm-3 (GRAV EMFAB),2.656,V ugm-3 (GRAV EMFAB)
2016-07-29,3.083,V ugm-3 (GRAV EMFAB),2.25,V ugm-3 (GRAV EMFAB),3.875,V ugm-3 (GRAV EMFAB),1.875,V ugm-3 (GRAV EMFAB),3.167,V ugm-3 (GRAV EMFAB),12.008,V ugm-3 (GRAV EMFAB),3.503,V ugm-3 (GRAV EMFAB),4,V ugm-3 (GRAV EMFAB),1.5,V ugm-3 (GRAV EMFAB),3.61,V ugm-3 (GRAV EMFAB)
2016-07-30,2.333,V ugm-3 (GRAV EMFAB),2.656,V ugm-3 (GRAV EMFAB),5.375,V ugm-3 (GRAV EMFAB),3.375,V ugm-3 (GRAV EMFAB),2.625,V ugm-3 (GRAV EMFAB),7.95,V ugm-3 (GRAV EMFAB),5.696,V ugm-3 (GRAV EMFAB),5.208,V ugm-3 (GRAV EMFAB),3.25,V ugm-3 (GRAV EMFAB),2.199,V ugm-3 (GRAV EMFAB)
2016-07-31,1.792,V ugm-3 (GRAV EMFAB),1.375,V ugm-3 (GRAV EMFAB),4.958,V ugm-3 (GRAV EMFAB),6.667,V ugm-3 (GRAV EMFAB),2.875,V ugm-3 (GRAV EMFAB),5.9,V ugm-3 (GRAV EMFAB),3.685,V ugm-3 (GRAV EMFAB),2.833,V ugm-3 (GRAV EMFAB),2.083,V ugm-3 (GRAV EMFAB),2.158,V ugm-3 (GRAV EMFAB)
2016-08-01,1.958,V ugm-3 (GRAV EMFAB),1.208,V ugm-3 (GRAV EMFAB),3.277,V ugm-3 (GRAV EMFAB),3.25,V ugm-3 (GRAV EMFAB),3.583,V ugm-3 (GRAV EMFAB),11.967,V ugm-3 (GRAV EMFAB),3.911,V ugm-3 (GRAV EMFAB),4.75,V ugm-3 (GRAV EMFAB),3.333,V ugm-3 (GRAV EMFAB),4.274,V ugm-3 (GRAV EMFAB)
2016-08-02,2.417,V ugm-3 (GRAV EMFAB),2.158,V ugm-3 (GRAV EMFAB),4.958,V ugm-3 (GRAV EMFAB),3,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),13.473,V ugm-3 (GRAV EMFAB),3.644,V ugm-3 (GRAV EMFAB),4.25,V ugm-3 (GRAV EMFAB),1.833,V ugm-3 (GRAV EMFAB),3.651,V ugm-3 (GRAV EMFAB)
2016-08-03,1.75,V ugm-3 (GRAV EMFAB),3.542,V ugm-3 (GRAV EMFAB),5.792,V ugm-3 (GRAV EMFAB),3.875,V ugm-3 (GRAV EMFAB),4.562,V ugm-3 (GRAV EMFAB),11.213,V ugm-3 (GRAV EMFAB),3.511,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),2.375,V ugm-3 (GRAV EMFAB),3.942,V ugm-3 (GRAV EMFAB)
2016-08-04,1.042,V ugm-3 (GRAV EMFAB),4.44,V ugm-3 (GRAV EMFAB),6.958,V ugm-3 (GRAV EMFAB),3.208,V ugm-3 (GRAV EMFAB),3.729,V ugm-3 (GRAV EMFAB),10.921,V ugm-3 (GRAV EMFAB),3.782,V ugm-3 (GRAV EMFAB),4.792,V ugm-3 (GRAV EMFAB),2.25,V ugm-3 (GRAV EMFAB),2.863,V ugm-3 (GRAV EMFAB)
2016-08-05,2.042,V ugm-3 (GRAV EMFAB),3.208,V ugm-3 (GRAV EMFAB),7.542,V ugm-3 (GRAV EMFAB),3.542,V ugm-3 (GRAV EMFAB),4.395,V ugm-3 (GRAV EMFAB),9.163,V ugm-3 (GRAV EMFAB),5.128,V ugm-3 (GRAV EMFAB),5.5,V ugm-3 (GRAV EMFAB),2.583,V ugm-3 (GRAV EMFAB),4.066,V ugm-3 (GRAV EMFAB)
2016-08-06,2.792,V ugm-3 (GRAV EMFAB),3.75,V ugm-3 (GRAV EMFAB),7.792,V ugm-3 (GRAV EMFAB),4.792,V ugm-3 (GRAV EMFAB),3.979,V ugm-3 (GRAV EMFAB),8.368,V ugm-3 (GRAV EMFAB),4.862,V ugm-3 (GRAV EMFAB),6,V ugm-3 (GRAV EMFAB),1.875,V ugm-3 (GRAV EMFAB),3.942,V ugm-3 (GRAV EMFAB)
2016-08-07,3.875,V ugm-3 (GRAV EMFAB),4.667,V ugm-3 (GRAV EMFAB),5.875,V ugm-3 (GRAV EMFAB),4.25,V ugm-3 (GRAV EMFAB),3.562,V ugm-3 (GRAV EMFAB),8.201,V ugm-3 (GRAV EMFAB),4.864,V ugm-3 (GRAV EMFAB),4.833,V ugm-3 (GRAV EMFAB),4.083,V ugm-3 (GRAV EMFAB),4.564,V ugm-3 (GRAV EMFAB)
2016-08-08,4.083,V ugm-3 (GRAV EMFAB),4.583,V ugm-3 (GRAV EMFAB),5.208,V ugm-3 (GRAV EMFAB),4.875,V ugm-3 (GRAV EMFAB),4.729,V ugm-3 (GRAV EMFAB),7.364,V ugm-3 (GRAV EMFAB),7.425,V ugm-3 (GRAV EMFAB),6.208,V ugm-3 (GRAV EMFAB),3.208,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2016-08-09,3.375,V ugm-3 (GRAV EMFAB),6.1,V ugm-3 (GRAV EMFAB),6.792,V ugm-3 (GRAV EMFAB),6.368,V ugm-3 (GRAV EMFAB),2.729,V ugm-3 (GRAV EMFAB),7.866,V ugm-3 (GRAV EMFAB),5.85,V ugm-3 (GRAV EMFAB),7.542,V ugm-3 (GRAV EMFAB),4.958,V ugm-3 (GRAV EMFAB),7.593,V ugm-3 (GRAV EMFAB)
2016-08-10,3.375,V ugm-3 (GRAV EMFAB),3.859,V ugm-3 (GRAV EMFAB),3.708,V ugm-3 (GRAV EMFAB),4.934,V ugm-3 (GRAV EMFAB),3.645,V ugm-3 (GRAV EMFAB),7.625,V ugm-3 (GRAV EMFAB),7.376,V ugm-3 (GRAV EMFAB),7.375,V ugm-3 (GRAV EMFAB),4,V ugm-3 (GRAV EMFAB),3.734,V ugm-3 (GRAV EMFAB)
2016-08-11,1.333,V ugm-3 (GRAV EMFAB),4.708,V ugm-3 (GRAV EMFAB),5.25,V ugm-3 (GRAV EMFAB),6.018,V ugm-3 (GRAV EMFAB),2.52,V ugm-3 (GRAV EMFAB),9.198,V ugm-3 (GRAV EMFAB),5.958,V ugm-3 (GRAV EMFAB),7.042,V ugm-3 (GRAV EMFAB),3.75,V ugm-3 (GRAV EMFAB),3.237,V ugm-3 (GRAV EMFAB)
