Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Wrexham",
Latitude,50.840836,,57.481308,,51.522530,,51.494670,,53.042282,,
Longitude,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-3.002829,,
Site Type,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Traffic,,
Zone,South East,,Highland,,Greater London,,Greater London,,North Wales,,
Agglomeration,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,
Local Authority,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2018-02-09,3.958,V ugm-3 (GRAV EMFAB),3.833,V ugm-3 (GRAV EMFAB),6.583,V ugm-3 (GRAV EMFAB),5.292,V ugm-3 (GRAV EMFAB),4.149,V ugm-3 (GRAV EMFAB)
2018-02-10,4.875,V ugm-3 (GRAV EMFAB),3.875,V ugm-3 (GRAV EMFAB),9.958,V ugm-3 (GRAV EMFAB),4.792,V ugm-3 (GRAV EMFAB),3.776,V ugm-3 (GRAV EMFAB)
2018-02-11,3.083,V ugm-3 (GRAV EMFAB),2.708,V ugm-3 (GRAV EMFAB),5.5,V ugm-3 (GRAV EMFAB),3.042,V ugm-3 (GRAV EMFAB),1.66,V ugm-3 (GRAV EMFAB)
2018-02-12,3.25,V ugm-3 (GRAV EMFAB),3.167,V ugm-3 (GRAV EMFAB),11,V ugm-3 (GRAV EMFAB),4.333,V ugm-3 (GRAV EMFAB),3.9,V ugm-3 (GRAV EMFAB)
2018-02-13,6.167,V ugm-3 (GRAV EMFAB),3.083,V ugm-3 (GRAV EMFAB),8,V ugm-3 (GRAV EMFAB),3.708,V ugm-3 (GRAV EMFAB),5.892,V ugm-3 (GRAV EMFAB)
2018-02-14,5.625,V ugm-3 (GRAV EMFAB),2.604,V ugm-3 (GRAV EMFAB),11.25,V ugm-3 (GRAV EMFAB),5.715,V ugm-3 (GRAV EMFAB),7.054,V ugm-3 (GRAV EMFAB)
2018-02-15,6.958,V ugm-3 (GRAV EMFAB),1.688,V ugm-3 (GRAV EMFAB),12.333,V ugm-3 (GRAV EMFAB),4.756,V ugm-3 (GRAV EMFAB),4.689,V ugm-3 (GRAV EMFAB)
2018-02-16,11.625,V ugm-3 (GRAV EMFAB),3.979,V ugm-3 (GRAV EMFAB),9.208,V ugm-3 (GRAV EMFAB),5.59,V ugm-3 (GRAV EMFAB),6.805,V ugm-3 (GRAV EMFAB)
2018-02-17,12.25,V ugm-3 (GRAV EMFAB),2.313,V ugm-3 (GRAV EMFAB),17.542,V ugm-3 (GRAV EMFAB),10.34,V ugm-3 (GRAV EMFAB),9.502,V ugm-3 (GRAV EMFAB)
2018-02-18,10.5,V ugm-3 (GRAV EMFAB),6.771,V ugm-3 (GRAV EMFAB),16.083,V ugm-3 (GRAV EMFAB),9.506,V ugm-3 (GRAV EMFAB),9.502,V ugm-3 (GRAV EMFAB)
2018-02-19,6.333,V ugm-3 (GRAV EMFAB),5.354,V ugm-3 (GRAV EMFAB),14.875,V ugm-3 (GRAV EMFAB),10.465,V ugm-3 (GRAV EMFAB),6.722,V ugm-3 (GRAV EMFAB)
2018-02-20,5.625,V ugm-3 (GRAV EMFAB),6.938,V ugm-3 (GRAV EMFAB),5.917,V ugm-3 (GRAV EMFAB),5.756,V ugm-3 (GRAV EMFAB),6.763,V ugm-3 (GRAV EMFAB)
2018-02-21,26.234,V ugm-3 (GRAV EMFAB),6.339,V ugm-3 (GRAV EMFAB),33.375,V ugm-3 (GRAV EMFAB),33.465,V ugm-3 (GRAV EMFAB),11.177,V ugm-3 (GRAV EMFAB)
2018-02-22,20.298,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),19.708,V ugm-3 (GRAV EMFAB),19.173,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-02-23,19.465,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),16.875,V ugm-3 (GRAV EMFAB),16.298,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-02-24,19.006,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),19.458,V ugm-3 (GRAV EMFAB),18.715,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-02-25,9.09,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),7.958,V ugm-3 (GRAV EMFAB),18.715,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-02-26,6.212,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),5.75,V ugm-3 (GRAV EMFAB),8.256,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-02-27,6.215,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),7.083,V ugm-3 (GRAV EMFAB),5.673,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-02-28,15.131,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),15.25,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-01,28.923,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),26.125,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-02,37.465,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),35.542,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-03,29.131,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),60.167,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-04,6.548,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),18.536,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-05,6.965,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),10.879,V ugm-3 (GRAV EMFAB),,,9.269,V ugm-3 (GRAV EMFAB)
2018-03-06,5.965,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),12.176,V ugm-3 (GRAV EMFAB),,,7.07,V ugm-3 (GRAV EMFAB)
2018-03-07,6.34,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),15.021,V ugm-3 (GRAV EMFAB),,,7.044,V ugm-3 (GRAV EMFAB)
2018-03-08,5.281,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),9.792,V ugm-3 (GRAV EMFAB),,,3.641,V ugm-3 (GRAV EMFAB)
2018-03-09,8.75,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),13.75,V ugm-3 (GRAV EMFAB),,,8.247,V ugm-3 (GRAV EMFAB)
2018-03-10,10.125,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),13.515,V ugm-3 (GRAV EMFAB),,,7.915,V ugm-3 (GRAV EMFAB)
2018-03-11,8,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),14.226,V ugm-3 (GRAV EMFAB),,,10.363,V ugm-3 (GRAV EMFAB)
2018-03-12,4.792,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),8.083,V ugm-3 (GRAV EMFAB),,,6.089,V ugm-3 (GRAV EMFAB)
2018-03-13,7.333,V ugm-3 (GRAV EMFAB),7.167,V ugm-3 (GRAV EMFAB),12.25,V ugm-3 (GRAV EMFAB),,,6.421,V ugm-3 (GRAV EMFAB)
2018-03-14,8.25,V ugm-3 (GRAV EMFAB),7.507,V ugm-3 (GRAV EMFAB),10.209,V ugm-3 (GRAV EMFAB),,,7.998,V ugm-3 (GRAV EMFAB)
2018-03-15,5.375,V ugm-3 (GRAV EMFAB),10.34,V ugm-3 (GRAV EMFAB),11.046,V ugm-3 (GRAV EMFAB),,,8.081,V ugm-3 (GRAV EMFAB)
2018-03-16,10.708,V ugm-3 (GRAV EMFAB),3.09,V ugm-3 (GRAV EMFAB),13.305,V ugm-3 (GRAV EMFAB),,,13.641,V ugm-3 (GRAV EMFAB)
2018-03-17,11.625,V ugm-3 (GRAV EMFAB),6.173,V ugm-3 (GRAV EMFAB),12.208,V ugm-3 (GRAV EMFAB),,,5.923,V ugm-3 (GRAV EMFAB)
2018-03-18,21.583,V ugm-3 (GRAV EMFAB),6.715,V ugm-3 (GRAV EMFAB),17.042,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
