Feature,1 Day,2 Day,3 Day,4 Day,5 Day,6 Day,7 Day,8 Day,9 Day,10 Day,11 Day,12 Day,13 Day,14 Day,15 Day,16 Day,17 Day,18 Day,19 Day,20 Day,21 Day,22 Day,23 Day,24 Day,25 Day,26 Day,27 Day,28 Day,29 Day,30 Day
air_pressure_min_hpa,0.014133177223941274,0.048658691585393266,0.048878235209352416,0.021918608228365555,0.012643061839769843,0.0005865620368020519,0.010189848627362563,0.002786481634954141,0.00928219937606598,0.0024494096518910434,0.015784691224355062,-0.00033187648112118493,0.012753431110979685,0.005478900010245091,0.005022360055699959,0.003836125080612751,0.0028825201837061167,0.025450479460589072,-0.002288132736648585,-8.823148039902585e-05,0.000648612392191783,-0.0021065136006005237,0.005770315075200561,-0.01694915572334743,-0.026170601282148587,-0.045331638465972365,-0.008697504006790613,-0.047808716268766684,-0.05493603712053465,-0.03919448619831125
relative_humidity_min_pct,0.013753110804176804,0.008673740948102738,4.9363278946845665e-05,-0.0006079278786976338,-0.0009267426466877726,0.006152607355704198,0.0002235729019844701,-0.0035963517628363473,-0.003347744471590275,-0.005701162559164663,-0.003212055916826362,0.011949271979657183,0.00243269982840606,0.008266736098698057,0.03896933950462485,0.004801451598090445,0.0014995864214058852,0.0017605074017027268,0.003696403323739794,0.003384643016859279,0.0005885810963263793,-0.0015123886811108545,-0.007720544191399536,-0.0032670872351700632,0.00012902739476983172,-0.0008170887845513342,-0.011666887039954377,7.369262831291579e-06,0.010537229836877016,0.01603849819320402
air_pressure_max_hpa,0.013689775112246717,0.03857627573592888,0.041475484021153086,0.07584225894345158,0.05946085457018095,0.04530689794924041,0.0272845150175546,0.0034396675329525727,0.00861455343810622,0.0018799087422038951,0.002746754638196558,0.011284656605937294,0.003704306923086609,0.01115537650244569,0.006388477951203208,0.009496397355506891,0.011501629428148696,0.002412169020988575,-0.001579114457836095,0.004457694555437985,-0.00032616579150350765,0.0006956994603249278,0.0009037627502621159,-0.017717942490297078,-0.006069171801429451,-0.021162864936174718,-0.03648069202015569,0.0017505691874592165,-0.0012100608882617881,-0.009853572559927849
pm25_lag7,0.011591035078379575,0.001923736156020972,0.003297598011936653,0.03664885844124708,2.5439461625520465e-05,-0.0031323613001645436,0.005561430233866993,0.005818822410669178,0.023144733227474124,0.00028855225460655554,0.001963478971811039,-9.972394867392431e-05,0.004619028846762641,-0.0027859920092993206,0.0024000551775740673,0.014504428046873175,-0.02066712347849653,-0.053384660144762154,-0.030227059433426316,-0.004995577543281104,-0.00792201113075297,-0.04447455475902,-0.05812862083009938,-0.042523893398396864,-0.012234174748086435,-0.0037478790198565816,-0.000737053322155612,-0.010969313993340935,-0.023223943055565764,-0.03882252768842052
precipitation_max_mm,0.010189498304992318,0.0009326349964458025,0.0006797885630602796,0.001379183994398936,-0.0008781575094030103,-0.0008972672377215663,0.00011025570353830893,0.0002082668529465259,0.0,0.0,-0.00032719397342240164,-0.0009102664210581147,0.0009966908696711573,-1.1948994227850562e-05,0.005464365352532452,0.0005049025875397018,0.0009964636217275834,-0.0005295009282284102,0.0002525865858877374,-8.533929669596318e-05,0.00010823352691375909,0.0074848098225061225,0.003417155735653754,0.0,0.003996496608475164,0.014738549071655793,0.0008342924599121116,-9.206788883275863e-07,0.00040805489269692965,-0.0002026478401915721
mean_relative_humidity_pct,0.007920567614972973,-0.00014316383646342245,-0.0002879220428885887,-0.0042315167321100855,-0.002649661013675475,-0.0019740049665862625,0.0014943523433691651,-0.0035413327377837424,-0.0025225337794128055,0.000395181758255303,0.0017703063900005756,0.004711534706029141,0.00619083593373948,0.044098917170933616,0.01582108437502656,0.01369515680718667,0.0036457472094883147,-0.005379163626301864,0.00010914168150506498,0.0062360423110248584,-0.005020731739678386,0.001850862670363318,0.001278893339319387,-0.004144653222140038,0.003835032527777038,0.00303247898993364,0.005157162131470994,0.0026289724168319763,-0.005384608695755899,0.00031632784597888095
week_sin,0.007476541004233362,0.0008098108333776999,-0.0008012613761454457,-0.0012640861007904292,0.0013723407283133594,0.001089182765790353,-0.003489430037533392,-0.0020392178685480823,0.0025562721977772985,-0.0009700085483704601,-0.0003255875860327162,-0.005750301141630709,-0.0031253564187944784,-0.0059301086153305425,-0.00010442173583449232,-0.011000106690943845,-0.038500562030231444,-0.016500018428516228,-0.0018583944569465771,-0.008062205397805755,-0.010101406706318228,0.008783755288486494,0.007089605625074569,-0.004646748795228773,0.005935811532281976,-0.025944883908040995,-0.03503677723315772,-0.04575843036174785,-0.03751059815421032,-0.04556447321783286
total_precipitation_mm,0.006509474328726861,0.0013109524078789736,0.0006204295356522227,0.0005001089970268601,-0.001058285335976583,-3.084277307507932e-05,0.00017829195124043906,-0.0021135499906007825,0.0,0.0,0.0012469144313264735,0.0009359992363234592,0.00012428223916960413,0.0006125290870667488,0.010169966104720674,0.00022639645927240436,-0.0007716075144172496,-3.957442465569727e-05,-0.003033486863841395,6.780568943440813e-05,-0.0003741411286958485,-0.007477678722805381,0.002348923319595908,1.9614275764112675e-05,-0.0011783545840104103,0.00646229756654324,0.0011784334918509387,0.00034903777497126144,0.00010083328076286868,-0.0058808886362407
mean_air_pressure_hpa,0.0062843648132869575,0.05470054010001326,0.04696216519849887,0.040272158821423786,0.012169897031650657,0.006541584830044389,-0.002684288398892587,0.022804919869711913,0.019064450156520963,0.00953496081680889,0.007049349144565564,0.010748512948101353,0.00201024117972457,0.003495051533835181,0.01863716048975772,-3.009760516992088e-06,0.0011018477805408544,0.00602706403401494,-0.0004653601715532751,0.0005702148343239788,0.0037041167545595497,0.0005871894903349162,0.00041560567369227643,-0.00459588383225844,-0.005135773149563904,-0.015140180531338832,-0.004203922317006592,-0.007398905427683245,-0.00039642066386198495,-0.0532523230307119
wind_direction_deg,0.0049633232621122845,0.012124362400223455,0.003963807177346101,0.007057515144348203,0.02022892961262914,0.03469275611738935,0.005270809312494506,-0.002030495914181074,0.007531469439117177,-0.00024825178297267493,-0.00042370974510981264,-0.009929648976434446,-0.005626773983664579,-0.021185544613429343,-0.009464434320400361,-0.0016080813846369945,-0.0027533477321482814,0.0027700448725259006,0.0018472365089083008,0.006781016588210909,0.004752127978266208,0.004348319190287197,-0.0010592469022418615,0.0059281452263102,0.0023047979602415667,-0.0029232107675996486,-0.0007535196553349888,0.0019010140214647197,0.014058979803056815,-0.00026813402861178834
pm25_rollstd3,0.00407740899025546,0.010891230593728651,0.030348584817057444,0.03382651448249794,0.005968579475593439,-0.00020525994913533907,-0.013108055518121286,0.005749205283903836,0.006705425463931869,0.00139969809580629,0.002333174076026934,-0.003386312032287808,-0.0065041329038788565,-0.002100831903730205,-0.0012970597832795416,0.00021464201225622758,-0.006662769578719585,-0.006865896903021707,-0.0033253545761112056,0.0037013793268864783,0.0182570883414487,0.005670691386998073,0.0005297697464394346,0.003741630988962452,-0.002998982390120064,-0.004318715834759202,-0.005916206985269845,-0.011190495547794388,-0.0044932314459956045,-0.003957256285730448
month_sin,0.004027631867358728,0.003255401263579527,0.0,0.0,0.0,0.001925412210006483,-0.0009400525346861865,-0.0005801782179418513,0.0,0.0,-0.00010787623462187313,-0.0002899230203847303,-0.002666046965835367,-0.004457689489637184,-0.0021639513764475813,-0.008195310063745919,-0.0024823359178880013,0.001091242511836965,0.00011818809785681949,0.0017738404662108298,0.0018516969402743388,0.0,0.0022464820716390664,0.00021813434713036095,0.0,0.0007334031296901244,5.152161821753154e-05,0.0005978941917414993,0.0,-0.0011842479248961092
