Daily measurement data supplied by UK-air on 21/05/2026,,
All Data GMT hour ending,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,
,London Marylebone Road,
Latitude,51.52253,
Longitude,-0.154611,
Site Type,Urban Traffic,
Zone,Greater London,
Agglomeration,Greater London Urban Area,
Local Authority,Westminster,
Date,PM2.5 particulate matter (Daily measured),Status
01/07/2021,7.72,V ugm-3 (GRAV EMFAB)
02/07/2021,12.657,V ugm-3 (GRAV EMFAB)
03/07/2021,6.13,V ugm-3 (GRAV EMFAB)
04/07/2021,4.958,V ugm-3 (GRAV EMFAB)
05/07/2021,4.749,V ugm-3 (GRAV EMFAB)
06/07/2021,4.271,V ugm-3 (GRAV EMFAB)
07/07/2021,5.962,V ugm-3 (GRAV EMFAB)
08/07/2021,6.967,V ugm-3 (GRAV EMFAB)
09/07/2021,7.51,V ugm-3 (GRAV EMFAB)
10/07/2021,5.795,V ugm-3 (GRAV EMFAB)
11/07/2021,7.646,V ugm-3 (GRAV EMFAB)
12/07/2021,4.438,V ugm-3 (GRAV EMFAB)
13/07/2021,5.962,V ugm-3 (GRAV EMFAB)
14/07/2021,5.146,V ugm-3 (GRAV EMFAB)
15/07/2021,4.1,V ugm-3 (GRAV EMFAB)
16/07/2021,8.125,V ugm-3 (GRAV EMFAB)
17/07/2021,3.598,V ugm-3 (GRAV EMFAB)
18/07/2021,5.188,V ugm-3 (GRAV EMFAB)
19/07/2021,9.205,V ugm-3 (GRAV EMFAB)
20/07/2021,9.375,V ugm-3 (GRAV EMFAB)
21/07/2021,13.389,V ugm-3 (GRAV EMFAB)
22/07/2021,11.674,V ugm-3 (GRAV EMFAB)
23/07/2021,7.708,V ugm-3 (GRAV EMFAB)
24/07/2021,11.423,V ugm-3 (GRAV EMFAB)
25/07/2021,10.083,V ugm-3 (GRAV EMFAB)
26/07/2021,7.699,V ugm-3 (GRAV EMFAB)
27/07/2021,0.583,V ugm-3 (GRAV EMFAB)
28/07/2021,3.625,V ugm-3 (GRAV EMFAB)
29/07/2021,6.276,V ugm-3 (GRAV EMFAB)
30/07/2021,6.042,V ugm-3 (GRAV EMFAB)
31/07/2021,4.958,V ugm-3 (GRAV EMFAB)
01/08/2021,4.333,V ugm-3 (GRAV EMFAB)
02/08/2021,5.5,V ugm-3 (GRAV EMFAB)
03/08/2021,No data,V ugm-3 (GRAV EMFAB)
04/08/2021,7.458,V ugm-3 (GRAV EMFAB)
05/08/2021,1.417,V ugm-3 (GRAV EMFAB)
06/08/2021,5.25,V ugm-3 (GRAV EMFAB)
07/08/2021,4.208,V ugm-3 (GRAV EMFAB)
08/08/2021,1.799,V ugm-3 (GRAV EMFAB)
09/08/2021,5.542,V ugm-3 (GRAV EMFAB)
10/08/2021,7.083,V ugm-3 (GRAV EMFAB)
11/08/2021,7.583,V ugm-3 (GRAV EMFAB)
12/08/2021,6.667,V ugm-3 (GRAV EMFAB)
13/08/2021,7.75,V ugm-3 (GRAV EMFAB)
14/08/2021,7.125,V ugm-3 (GRAV EMFAB)
15/08/2021,5.314,V ugm-3 (GRAV EMFAB)
16/08/2021,9.042,V ugm-3 (GRAV EMFAB)
17/08/2021,5.042,V ugm-3 (GRAV EMFAB)
18/08/2021,4.708,V ugm-3 (GRAV EMFAB)
19/08/2021,6.5,V ugm-3 (GRAV EMFAB)
20/08/2021,3.808,V ugm-3 (GRAV EMFAB)
21/08/2021,5.833,V ugm-3 (GRAV EMFAB)
22/08/2021,4.333,V ugm-3 (GRAV EMFAB)
23/08/2021,4.083,V ugm-3 (GRAV EMFAB)
24/08/2021,3.542,V ugm-3 (GRAV EMFAB)
25/08/2021,2.125,V ugm-3 (GRAV EMFAB)
26/08/2021,4.833,V ugm-3 (GRAV EMFAB)
27/08/2021,5.208,V ugm-3 (GRAV EMFAB)
28/08/2021,5.167,V ugm-3 (GRAV EMFAB)
29/08/2021,3.917,V ugm-3 (GRAV EMFAB)
30/08/2021,3,V ugm-3 (GRAV EMFAB)
31/08/2021,3.875,V ugm-3 (GRAV EMFAB)
01/09/2021,6.417,V ugm-3 (GRAV EMFAB)
02/09/2021,7.083,V ugm-3 (GRAV EMFAB)
03/09/2021,11.167,V ugm-3 (GRAV EMFAB)
04/09/2021,11.708,V ugm-3 (GRAV EMFAB)
05/09/2021,No data,V ugm-3 (GRAV EMFAB)
06/09/2021,No data,V ugm-3 (GRAV EMFAB)
07/09/2021,No data,V ugm-3 (GRAV EMFAB)
08/09/2021,20.502,V ugm-3 (GRAV EMFAB)
09/09/2021,8.452,V ugm-3 (GRAV EMFAB)
10/09/2021,6.569,V ugm-3 (GRAV EMFAB)
11/09/2021,7.167,V ugm-3 (GRAV EMFAB)
12/09/2021,6.36,V ugm-3 (GRAV EMFAB)
13/09/2021,5.958,V ugm-3 (GRAV EMFAB)
14/09/2021,11.042,V ugm-3 (GRAV EMFAB)
15/09/2021,9.038,V ugm-3 (GRAV EMFAB)
16/09/2021,12.208,V ugm-3 (GRAV EMFAB)
17/09/2021,10.084,V ugm-3 (GRAV EMFAB)
18/09/2021,13.473,V ugm-3 (GRAV EMFAB)
19/09/2021,18.625,V ugm-3 (GRAV EMFAB)
20/09/2021,No data,V ugm-3 (GRAV EMFAB)
21/09/2021,8.41,V ugm-3 (GRAV EMFAB)
22/09/2021,12.458,V ugm-3 (GRAV EMFAB)
23/09/2021,8.25,V ugm-3 (GRAV EMFAB)
24/09/2021,10.083,V ugm-3 (GRAV EMFAB)
25/09/2021,9.542,V ugm-3 (GRAV EMFAB)
26/09/2021,12.301,V ugm-3 (GRAV EMFAB)
27/09/2021,4.75,V ugm-3 (GRAV EMFAB)
28/09/2021,6.208,V ugm-3 (GRAV EMFAB)
29/09/2021,5.958,V ugm-3 (GRAV EMFAB)
30/09/2021,5.875,V ugm-3 (GRAV EMFAB)
01/10/2021,6.083,V ugm-3 (GRAV EMFAB)
02/10/2021,4.708,V ugm-3 (GRAV EMFAB)
03/10/2021,4.667,V ugm-3 (GRAV EMFAB)
04/10/2021,6.208,V ugm-3 (GRAV EMFAB)
05/10/2021,3.917,V ugm-3 (GRAV EMFAB)
06/10/2021,6.667,V ugm-3 (GRAV EMFAB)
07/10/2021,8.556,V ugm-3 (GRAV EMFAB)
08/10/2021,9.521,V ugm-3 (GRAV EMFAB)
09/10/2021,23.313,V ugm-3 (GRAV EMFAB)
10/10/2021,12.646,V ugm-3 (GRAV EMFAB)
11/10/2021,8.438,V ugm-3 (GRAV EMFAB)
12/10/2021,8.021,V ugm-3 (GRAV EMFAB)
13/10/2021,9.354,V ugm-3 (GRAV EMFAB)
14/10/2021,11.563,V ugm-3 (GRAV EMFAB)
15/10/2021,9.146,V ugm-3 (GRAV EMFAB)
16/10/2021,14.396,V ugm-3 (GRAV EMFAB)
17/10/2021,10.646,V ugm-3 (GRAV EMFAB)
18/10/2021,10.271,V ugm-3 (GRAV EMFAB)
19/10/2021,14.438,V ugm-3 (GRAV EMFAB)
20/10/2021,7.479,V ugm-3 (GRAV EMFAB)
21/10/2021,4.75,V ugm-3 (GRAV EMFAB)
22/10/2021,6.708,V ugm-3 (GRAV EMFAB)
23/10/2021,5.458,V ugm-3 (GRAV EMFAB)
24/10/2021,6.167,V ugm-3 (GRAV EMFAB)
25/10/2021,7.833,V ugm-3 (GRAV EMFAB)
26/10/2021,6.542,V ugm-3 (GRAV EMFAB)
27/10/2021,5.083,V ugm-3 (GRAV EMFAB)
28/10/2021,7.708,V ugm-3 (GRAV EMFAB)
29/10/2021,7.125,V ugm-3 (GRAV EMFAB)
30/10/2021,5.625,V ugm-3 (GRAV EMFAB)
31/10/2021,4.542,V ugm-3 (GRAV EMFAB)
01/11/2021,6.417,V ugm-3 (GRAV EMFAB)
02/11/2021,10.042,V ugm-3 (GRAV EMFAB)
03/11/2021,10.292,V ugm-3 (GRAV EMFAB)
04/11/2021,6.875,V ugm-3 (GRAV EMFAB)
05/11/2021,18.75,V ugm-3 (GRAV EMFAB)
06/11/2021,11.625,V ugm-3 (GRAV EMFAB)
07/11/2021,9.042,V ugm-3 (GRAV EMFAB)
08/11/2021,12.333,V ugm-3 (GRAV EMFAB)
09/11/2021,7.667,V ugm-3 (GRAV EMFAB)
10/11/2021,8.917,V ugm-3 (GRAV EMFAB)
11/11/2021,9.125,V ugm-3 (GRAV EMFAB)
12/11/2021,8.792,V ugm-3 (GRAV EMFAB)
13/11/2021,4,V ugm-3 (GRAV EMFAB)
14/11/2021,5.208,V ugm-3 (GRAV EMFAB)
15/11/2021,9.667,V ugm-3 (GRAV EMFAB)
16/11/2021,15,V ugm-3 (GRAV EMFAB)
17/11/2021,11.458,V ugm-3 (GRAV EMFAB)
18/11/2021,No data,V ugm-3 (GRAV EMFAB)
19/11/2021,No data,V ugm-3 (GRAV EMFAB)
20/11/2021,No data,V ugm-3 (GRAV EMFAB)
21/11/2021,No data,V ugm-3 (GRAV EMFAB)
22/11/2021,No data,V ugm-3 (GRAV EMFAB)
23/11/2021,No data,V ugm-3 (GRAV EMFAB)
24/11/2021,No data,V ugm-3 (GRAV EMFAB)
25/11/2021,No data,V ugm-3 (GRAV EMFAB)
26/11/2021,No data,V ugm-3 (GRAV EMFAB)
27/11/2021,No data,V ugm-3 (GRAV EMFAB)
28/11/2021,No data,V ugm-3 (GRAV EMFAB)
29/11/2021,No data,V ugm-3 (GRAV EMFAB)
30/11/2021,No data,V ugm-3 (GRAV EMFAB)
01/12/2021,No data,V ugm-3 (GRAV EMFAB)
02/12/2021,6.5,V ugm-3 (GRAV EMFAB)
03/12/2021,11.083,V ugm-3 (GRAV EMFAB)
04/12/2021,9.333,V ugm-3 (GRAV EMFAB)
05/12/2021,3.583,V ugm-3 (GRAV EMFAB)
06/12/2021,9.333,V ugm-3 (GRAV EMFAB)
07/12/2021,7.792,V ugm-3 (GRAV EMFAB)
08/12/2021,7.833,V ugm-3 (GRAV EMFAB)
09/12/2021,9.208,V ugm-3 (GRAV EMFAB)
10/12/2021,6.333,V ugm-3 (GRAV EMFAB)
11/12/2021,10.083,V ugm-3 (GRAV EMFAB)
12/12/2021,6.625,V ugm-3 (GRAV EMFAB)
13/12/2021,6.208,V ugm-3 (GRAV EMFAB)
14/12/2021,9.083,V ugm-3 (GRAV EMFAB)
15/12/2021,8.208,V ugm-3 (GRAV EMFAB)
16/12/2021,No data,V ugm-3 (GRAV EMFAB)
17/12/2021,No data,V ugm-3 (GRAV EMFAB)
18/12/2021,No data,V ugm-3 (GRAV EMFAB)
19/12/2021,No data,V ugm-3 (GRAV EMFAB)
20/12/2021,No data,V ugm-3 (GRAV EMFAB)
21/12/2021,No data,V ugm-3 (GRAV EMFAB)
