Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Bournemouth",,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,50.739570,,50.840836,,57.481308,,51.522530,,51.494670,,52.271886,,53.042282,,
Longitude,-1.826744,,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Urban Background,,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,South West,,South East,,Highland,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Bournemouth",,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2017-02-04,4.21,V ugm-3 (GRAV EMFAB),2,V ugm-3 (GRAV EMFAB),4.25,V ugm-3 (GRAV EMFAB),12.92,V ugm-3 (GRAV EMFAB),6.67,V ugm-3 (GRAV EMFAB),5.67,V ugm-3 (GRAV EMFAB),5.1,V ugm-3 (GRAV EMFAB)
2017-02-05,6,V ugm-3 (GRAV EMFAB),4.58,V ugm-3 (GRAV EMFAB),8.67,V ugm-3 (GRAV EMFAB),12.04,V ugm-3 (GRAV EMFAB),10.5,V ugm-3 (GRAV EMFAB),14.29,V ugm-3 (GRAV EMFAB),10.08,V ugm-3 (GRAV EMFAB)
2017-02-06,8,V ugm-3 (GRAV EMFAB),11.08,V ugm-3 (GRAV EMFAB),4.71,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),19.71,V ugm-3 (GRAV EMFAB),15.88,V ugm-3 (GRAV EMFAB),7.76,V ugm-3 (GRAV EMFAB)
2017-02-07,6.79,V ugm-3 (GRAV EMFAB),6.96,V ugm-3 (GRAV EMFAB),5.63,V ugm-3 (GRAV EMFAB),13.36,V ugm-3 (GRAV EMFAB),8.46,V ugm-3 (GRAV EMFAB),6.5,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2017-02-08,8.33,V ugm-3 (GRAV EMFAB),14.38,V ugm-3 (GRAV EMFAB),7.33,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),18.75,V ugm-3 (GRAV EMFAB),15.58,V ugm-3 (GRAV EMFAB),18.17,V ugm-3 (GRAV EMFAB)
2017-02-09,20.58,V ugm-3 (GRAV EMFAB),29.79,V ugm-3 (GRAV EMFAB),5.46,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),24.5,V ugm-3 (GRAV EMFAB),12.71,V ugm-3 (GRAV EMFAB),14.4,V ugm-3 (GRAV EMFAB)
2017-02-10,29.54,V ugm-3 (GRAV EMFAB),37.71,V ugm-3 (GRAV EMFAB),7.71,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),34.96,V ugm-3 (GRAV EMFAB),20.21,V ugm-3 (GRAV EMFAB),14.32,V ugm-3 (GRAV EMFAB)
2017-02-11,22.88,V ugm-3 (GRAV EMFAB),29.5,V ugm-3 (GRAV EMFAB),7.58,V ugm-3 (GRAV EMFAB),38.42,V ugm-3 (GRAV EMFAB),36.08,V ugm-3 (GRAV EMFAB),20.25,V ugm-3 (GRAV EMFAB),9.79,V ugm-3 (GRAV EMFAB)
2017-02-12,31.5,V ugm-3 (GRAV EMFAB),37.04,V ugm-3 (GRAV EMFAB),7.17,V ugm-3 (GRAV EMFAB),33.42,V ugm-3 (GRAV EMFAB),39.46,V ugm-3 (GRAV EMFAB),30.38,V ugm-3 (GRAV EMFAB),16.64,V ugm-3 (GRAV EMFAB)
2017-02-13,25.42,V ugm-3 (GRAV EMFAB),27.25,V ugm-3 (GRAV EMFAB),9.96,V ugm-3 (GRAV EMFAB),48.67,V ugm-3 (GRAV EMFAB),44.42,V ugm-3 (GRAV EMFAB),48.71,V ugm-3 (GRAV EMFAB),40.12,V ugm-3 (GRAV EMFAB)
