date,status_raw,pm25,status_code,pm25_imputed,iqr_outlier,domain_outlier,outlier,iqr_lower,iqr_upper
2022-08-04,V ugm-3 (GRAV EMFAB),5.5,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-05,V ugm-3 (GRAV EMFAB),4.64,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-06,V ugm-3 (GRAV EMFAB),9.06,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-07,V ugm-3 (GRAV EMFAB),8.94,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-08,V ugm-3 (GRAV EMFAB),7.55,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-09,V ugm-3 (GRAV EMFAB),7.57,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-10,V ugm-3 (GRAV EMFAB),8.49,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-11,V ugm-3 (GRAV EMFAB),11.91,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-12,V ugm-3 (GRAV EMFAB),13.83,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-13,V ugm-3 (GRAV EMFAB),14.32,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-14,V ugm-3 (GRAV EMFAB),14.59,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-15,V ugm-3 (GRAV EMFAB),16.51,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-16,V ugm-3 (GRAV EMFAB),16.38,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-17,V ugm-3 (GRAV EMFAB),17.79,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-18,V ugm-3 (GRAV EMFAB),8.66,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-19,V ugm-3 (GRAV EMFAB),6.89,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-20,V ugm-3 (GRAV EMFAB),7.43,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-21,V ugm-3 (GRAV EMFAB),7.8,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-22,V ugm-3 (GRAV EMFAB),7.19,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-23,V ugm-3 (GRAV EMFAB),5.7,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-24,V ugm-3 (GRAV EMFAB),6.74,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-25,V ugm-3 (GRAV EMFAB),5.86,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-26,V ugm-3 (GRAV EMFAB),8.6,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-27,V ugm-3 (GRAV EMFAB),7.1,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-28,V ugm-3 (GRAV EMFAB),4.12,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-29,V ugm-3 (GRAV EMFAB),3.88,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-30,V ugm-3 (GRAV EMFAB),4.43,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-31,V ugm-3 (GRAV EMFAB),5.22,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-01,V ugm-3 (GRAV EMFAB),7.73,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-02,V ugm-3 (GRAV EMFAB),11.83,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-03,V ugm-3 (GRAV EMFAB),11.76,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-04,V ugm-3 (GRAV EMFAB),7.5,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-05,V ugm-3 (GRAV EMFAB),7.51,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-06,V ugm-3 (GRAV EMFAB),6.85,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-07,V ugm-3 (GRAV EMFAB),6.49,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-08,V ugm-3 (GRAV EMFAB),5.6,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-09,V ugm-3 (GRAV EMFAB),7.9,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-10,V ugm-3 (GRAV EMFAB),7.4,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-11,V ugm-3 (GRAV EMFAB),7.82,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-12,V ugm-3 (GRAV EMFAB),8.59,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-13,V ugm-3 (GRAV EMFAB),5.85,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-14,V ugm-3 (GRAV EMFAB),6.33,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-15,V ugm-3 (GRAV EMFAB),6.11,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-16,V ugm-3 (GRAV EMFAB),3.75,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-17,V ugm-3 (GRAV EMFAB),5.31,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-18,V ugm-3 (GRAV EMFAB),4.41,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-19,V ugm-3 (GRAV EMFAB),3.83,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-20,V ugm-3 (GRAV EMFAB),6.21,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-21,V ugm-3 (GRAV EMFAB),10.99,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-22,V ugm-3 (GRAV EMFAB),9.01,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-23,V ugm-3 (GRAV EMFAB),6.52,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-24,V ugm-3 (GRAV EMFAB),3.73,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-25,V ugm-3 (GRAV EMFAB),4.44,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-09-26,V ugm-3 (GRAV EMFAB),4.69,V,False,False,False,False,-7.4999999999999964,22.599999999999994
