date,pm25,station,was_observed,pm25_imputed,pm25_lag_1d,pm25_lag_2d,pm25_lag_3d,pm25_lag_7d,pm25_lag_14d,pm25_lag_30d,rolling_mean_3d,rolling_mean_7d,rolling_mean_14d,rolling_mean_30d,rolling_std_7d,rolling_min_7d,rolling_max_7d,rolling_std_30d,rolling_min_30d,rolling_max_30d,diff_1d,diff_7d,diff_30d,pct_change_1d,pct_change_7d,diff_of_diff,seasonal_trend,seasonal_component,seasonal_residual,trend_avg_3d,trend_avg_7d,trend_avg_14d,trend_diff_1_2,trend_diff_1_7,trend_diff_7_14,trend_rate_3d,trend_rate_7d,trend_rate_14d,trend_volatility_7d,trend_volatility_14d,trend_ratio_7d,trend_ratio_30d,trend_cumsum_7d,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos,day_of_month_sin,day_of_month_cos
2022-06-14,6.7273000000000005,London Marylebone Road,False,True,6.44365,6.16,4.67,7.01,8.915714285714285,8.915714285714285,5.757883333333332,6.736235714285714,8.128719897959183,8.548450238095237,1.3054261203129585,4.67,9.06,1.3840513764581734,4.67,11.708,0.28364999999999974,-0.72635,-2.370159523809523,4.604707792207785,-10.130404463040444,-1.2063500000000005,13.862184905414223,-0.8379702358625192,-6.296914669551703,5.757883333333332,6.736235714285714,8.128719897959183,0.28364999999999974,-0.5663499999999999,-1.9057142857142857,0.5912166666666666,-0.08090714285714284,-0.17657602040816325,1.3054261203129585,1.9792732205144594,0.9565653984368124,0.7537799040210325,47.15365,0.29671281927349075,-0.9549667548552551,0.7818314824680298,0.6234898018587336,0.20791169081775931,-0.9781476007338057
2022-06-15,7.01095,London Marylebone Road,False,True,6.7273000000000005,6.44365,6.16,9.06,8.915714285714285,8.915714285714285,6.443649999999999,6.69585,7.972404591836735,8.475503095238095,1.299906410413241,4.67,9.06,1.4211992860221638,4.67,11.708,0.2836500000000006,-0.2826999999999993,-2.188414285714285,4.402008178594441,-4.032810271041365,8.881784197001252e-16,13.887170815394654,-0.6087641630859248,-6.267456652308729,6.443649999999999,6.69585,7.972404591836735,0.2836500000000006,-2.3327,0.14428571428571502,0.18910000000000013,-0.3332428571428571,-0.15631530612244893,1.299906410413241,1.9986596888499204,1.0046969391488758,0.7937345930272492,46.87095,0.28023067519921585,-0.9599326896597447,0.9749279121818236,-0.22252093395631434,5.66553889764798e-16,-1.0
2022-06-16,7.01095,London Marylebone Road,False,True,7.01095,6.7273000000000005,6.44365,6.85,10.75,8.915714285714285,6.7273,6.403128571428573,7.83635,8.412010952380951,0.8214643428340148,4.67,7.01095,1.4432316135185408,4.67,11.708,0.28364999999999974,-2.0490500000000003,-1.9047642857142852,4.216401825397997,-22.61644591611479,-8.881784197001252e-16,13.910656529680368,-0.6007063544448896,-6.299000175235479,6.7273,6.403128571428573,7.83635,0.28364999999999974,0.1609500000000006,-3.9000000000000004,0.18910000000000013,0.022992857142857228,-0.267075,0.8214643428340148,1.994333067623208,1.0949256948054409,0.8334451820959182,44.82190000000001,0.26366549272800704,-0.9646141756912435,0.43388373911755823,-0.900968867902419,-0.20791169081775907,-0.9781476007338057
2022-06-17,7.01095,London Marylebone Road,False,True,7.01095,7.01095,6.7273000000000005,6.96,11.708,8.915714285714285,6.9163999999999985,6.426121428571428,7.569275,8.348518809523808,0.838140214431762,4.67,7.01095,1.4620831194313642,4.67,11.708,0.0,0.1609500000000006,-1.9047642857142852,0.0,2.349635036496367,-0.28364999999999974,13.93414224396608,-0.6036962747151731,-6.319495969250907,6.9163999999999985,6.426121428571428,7.569275,0.0,0.05095000000000027,-4.748,0.09454999999999991,0.0072785714285714675,-0.3355035714285714,0.838140214431762,1.816570290383463,1.0910080175000028,0.8397836981575775,44.98285,0.24702218048093552,-0.9690098257244062,-0.433883739117558,-0.9009688679024191,-0.4067366430758002,-0.9135454576426009
2022-06-18,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,4.67,10.299,8.915714285714285,7.01095,6.4334,7.233771428571429,8.285026666666667,0.8437516814798659,4.67,7.01095,1.4778755306825955,4.67,11.708,0.0,0.05095000000000027,-1.9047642857142852,0.0,0.732040229885067,0.0,13.957627958251795,-0.6066861949854572,-6.339991763266338,7.01095,6.4334,7.233771428571429,0.0,2.3409500000000003,-5.629,0.0,0.3344214285714286,-0.23486071428571423,0.8437516814798659,1.3729772307084966,1.0897736811017502,0.8462193644116213,45.0338,0.23030567023061221,-0.9731183372332619,-0.9749279121818236,-0.2225209339563146,-0.587785252292473,-0.8090169943749475
2022-06-19,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,6.16,8.89,8.915714285714285,7.01095,6.767821428571429,6.9989107142857145,8.221534523809524,0.34463072006771184,6.16,7.01095,1.4907060737958957,4.67,11.708,0.0,2.3409500000000003,-1.9047642857142852,0.0,50.12740899357602,0.0,13.981113672537507,-0.6096761152557408,-6.3604875572817665,7.01095,6.767821428571429,6.9989107142857145,0.0,0.8509500000000001,-2.7300000000000004,0.0,0.12156428571428572,-0.13421785714285717,0.34463072006771184,1.052018338933935,1.0359242001277051,0.852754431632723,47.37475,0.21352091543979612,-0.9769384927771817,-0.7818314824680299,0.6234898018587334,-0.743144825477394,-0.6691306063588585
2022-06-20,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,6.44365,7.17,8.915714285714285,7.01095,6.889385714285715,6.864692857142857,8.15804238095238,0.22317462653419254,6.44365,7.01095,1.500650722490407,4.67,11.708,0.0,0.8509500000000001,-1.9047642857142852,0.0,13.814123376623378,0.0,14.004599386823221,-0.612666035526025,-6.380983351297196,7.01095,6.889385714285715,6.864692857142857,0.0,0.5673000000000004,-0.72635,0.0,0.0810428571428572,-0.011360714285714264,0.22317462653419254,0.9012545872831502,1.01764515600603,0.8593912206645747,48.2257,0.19667288979357647,-0.980469160361632,0.0,1.0,-0.8660254037844384,-0.5000000000000004
2022-06-21,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,6.7273000000000005,7.01,8.915714285714285,7.01095,6.970428571428571,6.853332142857143,8.094550238095238,0.10720962276955968,6.7273000000000005,7.01095,1.5077665805977345,4.67,11.708,0.0,0.5673000000000004,-1.9047642857142852,0.0,8.80401635718886,0.0,14.028085101108934,-0.6156559557963084,-6.401479145312625,7.01095,6.970428571428571,6.853332142857143,0.0,0.28364999999999974,-0.2826999999999993,0.0,0.040521428571428535,6.785714285717503e-05,0.10720962276955968,0.8981069656627758,1.0058133338798598,0.8661321251679298,48.793,0.1797665857255624,-0.9837092937736097,0.7818314824680298,0.6234898018587336,-0.9510565162951535,-0.30901699437494756
2022-06-22,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,9.06,8.915714285714285,7.01095,7.01095,6.853400000000001,8.031058095238096,3.2552762951914867e-07,7.01095,7.01095,1.5120935852060162,4.67,11.708,0.0,0.28364999999999974,-1.9047642857142852,0.0,4.216401825397997,0.0,14.051570815394648,-0.6186458760665925,-6.421974939328055,7.01095,7.01095,6.853400000000001,0.0,0.0,-2.0490500000000003,0.0,0.0,-0.14636071428571432,3.2552762951914867e-07,0.8981197491683245,1.0,0.8729796144989967,49.07665,0.16280701293851715,-0.986657932891657,0.9749279121818236,-0.22252093395631434,-0.9945218953682733,-0.10452846326765423
2022-06-23,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,6.85,8.915714285714285,7.01095,7.01095,6.707039285714286,7.967565952380952,3.2552762951914867e-07,7.01095,7.01095,1.5136556535329888,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.075056529680362,-0.6216357963368766,-6.442470733343485,7.01095,7.01095,6.707039285714286,0.0,0.0,0.1609500000000006,0.0,0.0,0.011496428571428614,3.2552762951914867e-07,0.6410259871663156,1.0,0.87993623672546,49.07665,0.1457991969198751,-0.9893142039703663,0.43388373911755823,-0.900968867902419,-0.9945218953682734,0.10452846326765299
2022-06-24,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,6.96,8.915714285714285,7.01095,7.01095,6.718535714285714,7.904073809523809,3.2552762951914867e-07,7.01095,7.01095,1.512461352471848,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.098542243966076,-0.6246257166071607,-6.462966527358915,7.01095,7.01095,6.718535714285714,0.0,0.0,0.05095000000000027,0.0,0.0,0.0036392857142857338,3.2552762951914867e-07,0.6452167028420727,1.0,0.8870046217878605,49.07665,0.12874817745258132,-0.99167731989929,-0.433883739117558,-0.9009688679024191,-0.9510565162951536,0.30901699437494723
2022-06-25,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,4.67,8.915714285714285,7.01095,7.01095,6.722175,7.840581666666667,3.2552762951914867e-07,7.01095,7.01095,1.5085041352833475,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.122027958251786,-0.627615636877444,-6.4834623213743425,7.01095,7.01095,6.722175,0.0,0.0,2.3409500000000003,0.0,0.0,0.1672107142857143,3.2552762951914867e-07,0.6468251106365783,1.0,0.8941874848145832,49.07665,0.11165900712169512,-0.993746580436178,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001
2022-06-26,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,6.16,8.915714285714285,7.01095,7.01095,6.889385714285715,7.777089523809524,3.2552762951914867e-07,7.01095,7.01095,1.501762160866475,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.1455136725375,-0.630605557147728,-6.503958115389772,7.01095,7.01095,6.889385714285715,0.0,0.0,0.8509500000000001,0.0,0.0,0.06078214285714286,3.2552762951914867e-07,0.2659543421114459,1.0,0.9014876295992234,49.07665,0.09453674981719912,-0.9955213724144752,-0.7818314824680299,0.6234898018587334,-0.743144825477394,0.6691306063588585
2022-06-27,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,6.44365,8.915714285714285,7.01095,7.01095,6.950167857142858,7.713597380952381,3.2552762951914867e-07,7.01095,7.01095,1.4921976838378772,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.168999386823213,-0.6335954774180113,-6.524453909405201,7.01095,7.01095,6.950167857142858,0.0,0.0,0.5673000000000004,0.0,0.0,0.0405214285714286,3.2552762951914867e-07,0.16421469250202847,1.0,0.90890795224969,49.07665,0.07738647923346301,-0.9970011699250151,0.0,1.0,-0.5877852522924734,0.8090169943749473
2022-06-28,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,6.7273000000000005,8.915714285714285,7.01095,7.01095,6.990689285714287,7.650105238095238,3.2552762951914867e-07,7.01095,7.01095,1.4797559750476772,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.192485101108925,-0.6365853976882945,-6.544949703420631,7.01095,7.01095,6.990689285714287,0.0,0.0,0.28364999999999974,0.0,0.0,0.020260714285714267,3.2552762951914867e-07,0.0758086512685835,1.0,0.916451445019026,49.07665,0.06021327736579302,-0.9981855344718586,0.7818314824680298,0.6234898018587336,-0.40673664307580015,0.9135454576426009
2022-06-29,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,7.01095,8.915714285714285,7.01095,7.01095,7.01095,7.5866130952380955,3.2552762951914867e-07,7.01095,7.01095,1.4643636986503301,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.215970815394641,-0.639575317958579,-6.565445497436062,7.01095,7.01095,7.01095,0.0,0.0,0.0,0.0,0.0,0.0,3.2552762951914867e-07,1.3653032031175986e-07,1.0,0.9241212003285864,49.07665,0.04302223300453059,-0.99907411510223,0.9749279121818236,-0.22252093395631434,-0.20791169081775898,0.9781476007338057
2022-06-30,7.01095,London Marylebone Road,False,True,7.01095,7.01095,7.01095,7.01095,7.01095,8.915714285714285,7.01095,7.01095,7.01095,7.523120952380952,3.2552762951914867e-07,7.01095,7.01095,1.4459266289676818,4.67,11.708,0.0,0.0,-1.9047642857142852,0.0,0.0,0.0,14.239456529680353,-0.6425652382288627,-6.5859412914514905,7.01095,7.01095,7.01095,0.0,0.0,0.0,0.0,0.0,0.0,3.2552762951914867e-07,1.3653032031175986e-07,1.0,0.9319204149949419,49.07665,0.02581844022713308,-0.9996666485105112,0.43388373911755823,-0.900968867902419,-1.133107779529596e-15,1.0
