date,O3,NO,NO2,NOx,CO,PM10,station,day_of_week,quarter_num,year
2023-07-09,23.208327916666665,26.026993333333333,38.242031250000004,78.16546875,0.21101124999999998,32.9,London Marylebone Road,6,3,2023
2023-07-10,23.856930416666668,32.393420416666665,41.724375,91.40953125,0.17608525,18.3,London Marylebone Road,0,3,2023
2023-07-11,23.399582499999998,30.849886666666666,36.01078125,83.31328125,0.18190625000000002,15.7,London Marylebone Road,1,3,2023
2023-07-12,15.496023529411767,42.951142352941176,44.56125,110.42999999999999,0.19448988235294118,14.3,London Marylebone Road,2,3,2023
2023-07-13,17.681901999999997,54.299126666666666,60.29475,143.52675,0.27164666666666665,14.1,London Marylebone Road,3,3,2023
2023-07-14,14.89291125,39.37310333333333,43.35,103.71328125000001,0.23429524999999998,14.1,London Marylebone Road,4,3,2023
2023-07-15,28.330624583333332,23.18418875,25.30078125,60.87328125,0.17657033333333336,18.4,London Marylebone Road,5,3,2023
2023-07-16,32.29707833333333,22.066815833333333,26.543906250000003,60.36328125,0.1940333333333333,15.9,London Marylebone Road,6,3,2023
2023-07-17,16.331478333333333,41.94565958333333,42.808125,107.10796875,0.22410850000000002,15.5,London Marylebone Road,0,3,2023
2023-07-18,18.418647916666668,43.951733749999995,48.928125,116.31984375,0.24690741666666668,16.8,London Marylebone Road,1,3,2023
2023-07-19,28.896072916666668,19.405909166666667,28.3528125,58.108125,0.20130958333333335,11.7,London Marylebone Road,2,3,2023
2023-07-20,35.52346,11.683043333333332,23.715,41.596875000000004,0.18481675,10.4,London Marylebone Road,3,3,2023
2023-07-21,21.900638260869563,26.063372916666665,37.36546875,77.32078125,0.24302674999999999,16.7,London Marylebone Road,4,3,2023
2023-07-22,21.146104583333333,25.881475,28.2253125,67.91765625000001,0.23186983333333333,10.6,London Marylebone Road,5,3,2023
2023-07-23,23.840299583333334,20.933851666666666,24.29671875,56.39484375,0.2740720833333333,9.8,London Marylebone Road,6,3,2023
2023-07-24,26.847416842105265,11.022193157894737,18.058026315789476,34.96855263157895,0.17462999999999998,10.5,London Marylebone Road,0,3,2023
2023-07-25,27.31614375,14.3751325,24.8146875,46.8403125,0.168809,11.8,London Marylebone Road,1,3,2023
2023-07-26,13.886745833333334,41.22846208333333,46.9359375,110.16796875,0.27552733333333335,13.1,London Marylebone Road,2,3,2023
2023-07-27,10.094915833333333,38.84819791666667,30.855,90.42140625,0.28134833333333337,11.1,London Marylebone Road,3,3,2023
2023-07-28,10.560579166666667,42.30425833333333,33.405,98.31046875,0.22168308333333334,8.9,London Marylebone Road,4,3,2023
2023-07-29,20.988111666666665,28.45403125,35.29359375,78.96234375,0.2745571666666667,12.8,London Marylebone Road,5,3,2023
2023-07-30,22.94223458333333,25.138292083333337,27.50015625,66.06093750000001,0.2522433333333333,12.3,London Marylebone Road,6,3,2023
2023-07-31,17.121442916666666,34.311144166666665,38.67234375,91.29,0.2813483333333333,11.7,London Marylebone Road,0,3,2023
2023-08-01,20.946534583333335,27.196337083333333,32.9428125,74.619375,0.26437041666666666,11.4,London Marylebone Road,1,3,2023
2023-08-02,14.659323636363636,28.359066363636362,32.773295454545455,76.24789772727273,0.24024854545454544,49.2,London Marylebone Road,2,3,2023
2023-08-03,32.29707833333333,8.455654583333333,17.74640625,30.70359375,0.16783883333333335,15.2,London Marylebone Road,3,3,2023
2023-08-04,22.193847083333335,14.723337083333334,26.177343750000002,48.74484375,0.18772725,21.1,London Marylebone Road,4,3,2023
2023-08-05,24.106392916666668,20.065260869565215,24.621358695652173,55.412608695652175,0.20324991666666667,11.2,London Marylebone Road,5,3,2023
2023-08-06,32.64632583333333,7.98272,15.268125,27.508124999999996,0.17220458333333333,16.7,London Marylebone Road,6,3,2023
2023-08-07,18.518432916666665,34.758093333333335,41.8996875,95.20265625,0.24157150000000002,20.6,London Marylebone Road,0,3,2023
2023-08-08,8.514986666666667,60.06269208333333,52.139531250000005,144.22640625,0.308513,11.9,London Marylebone Road,1,3,2023
2023-08-09,18.493486666666666,29.25957916666667,41.365781250000005,86.21390625,0.25806433333333334,31.1,London Marylebone Road,2,3,2023
2023-08-10,19.765745416666665,52.79716958333333,66.89765625,147.87609375,0.2997815,20.4,London Marylebone Road,3,3,2023
2023-08-11,21.32904375,45.92662541666667,45.4378125,115.84171875,0.28765441666666663,14.9,London Marylebone Road,4,3,2023
2023-08-12,29.95213083333333,21.973268333333333,26.265,59.9728125,0.23526541666666667,31.0,London Marylebone Road,5,3,2023
2023-08-13,31.099658333333334,19.187631666666665,24.703125,54.09984375,0.23769083333333332,,London Marylebone Road,6,3,2023
2023-08-14,19.250189583333334,30.922645833333334,38.058749999999996,85.46484375,0.24399691666666667,13.9,London Marylebone Road,0,3,2023
2023-08-15,16.065385,33.37566916666667,40.2740625,91.44140625,0.26873616666666666,13.6,London Marylebone Road,1,3,2023
2023-08-16,29.276051304347824,16.865665217391303,38.64081521739131,64.50114130434783,0.23537086956521738,15.4,London Marylebone Road,2,3,2023
2023-08-17,34.442455833333334,16.08497291666667,29.8828125,54.538125,0.19645875000000002,18.6,London Marylebone Road,3,3,2023
2023-08-18,24.738364583333333,21.541910416666667,39.525,72.53953125,0.27213175,30.7,London Marylebone Road,4,3,2023
2023-08-19,26.077146666666668,22.835984166666666,29.6596875,64.674375,0.28765441666666663,16.8,London Marylebone Road,5,3,2023
2023-08-20,25.628114166666666,22.149969166666665,29.1815625,63.1603125,0.2832886666666667,15.3,London Marylebone Road,6,3,2023
2023-08-21,23.258220416666664,32.159551666666665,37.5965625,86.89921874999999,0.26388533333333336,13.4,London Marylebone Road,0,3,2023
2023-08-22,23.9982925,30.366557916666665,41.50125,88.04671875000001,0.24933283333333334,12.9,London Marylebone Road,1,3,2023
2023-08-23,29.866084347826085,24.78330869565217,47.0475,85.08130434782608,0.2566301739130435,16.2,London Marylebone Road,2,3,2023
2023-08-24,17.678575833333333,41.73257916666667,62.12437500000001,126.05765625,0.28086325,19.1,London Marylebone Road,3,3,2023
2023-08-25,32.51327916666667,24.95119708333333,38.1384375,76.404375,0.15377141666666666,11.8,London Marylebone Road,4,3,2023
2023-08-26,16.98839625,37.25789041666667,39.72421875,96.8521875,0.24496708333333336,12.4,London Marylebone Road,5,3,2023
2023-08-27,24.463955833333333,16.984068333333333,27.35671875,53.41453125,0.12078574999999998,9.9,London Marylebone Road,6,3,2023
2023-08-28,32.98725791666667,8.954574583333335,20.5434375,34.28953125,0.22895933333333332,9.8,London Marylebone Road,0,3,2023
2023-08-29,20.55571,35.641597499999996,43.66078125000001,98.33437500000001,0.4516125833333333,12.3,London Marylebone Road,1,3,2023
2023-08-30,23.91513833333333,17.115125217391302,31.84728260869565,58.11505434782609,0.4069638260869565,12.5,London Marylebone Road,2,3,2023
2023-08-31,15.025957916666668,43.42163125,47.6371875,114.20015625,0.4899341666666667,14.6,London Marylebone Road,3,3,2023
2023-09-01,14.976065416666666,16.282462083333332,28.910625,53.884687500000005,0.39970866666666666,16.4,London Marylebone Road,4,3,2023
2023-09-02,32.3802325,11.282867916666667,25.46015625,42.75234375,0.39146225,42.8,London Marylebone Road,5,3,2023
2023-09-03,45.93436166666667,10.77355375,32.95875,49.4859375,0.4220225,14.2,London Marylebone Road,6,3,2023
2023-09-04,38.11787,20.82991,50.59359375,82.58015625,0.44967225000000005,21.7,London Marylebone Road,0,3,2023
2023-09-05,42.092639166666665,17.288662608695653,54.53951086956522,81.04010869565218,0.47974741666666665,11.6,London Marylebone Road,1,3,2023
2023-09-06,47.2481975,12.774430833333334,64.77796875,84.3890625,0.5170988333333334,23.6,London Marylebone Road,2,3,2023
2023-09-07,51.66368375,16.334432916666668,68.93765625,93.999375,0.5491143333333334,17.7,London Marylebone Road,3,3,2023
2023-09-08,26.343239999999998,36.743379166666664,91.72031249999999,148.06734375,0.6699000833333333,12.2,London Marylebone Road,4,3,2023
2023-09-09,42.076008333333334,24.628977916666667,85.36921875,123.1171875,0.6529643478260869,35.0,London Marylebone Road,5,3,2023
2023-09-10,39.282028333333336,18.662726250000002,61.765781249999996,90.3975,,30.6,London Marylebone Road,6,3,2023
2023-09-11,29.819084166666666,32.81958125,49.748906250000005,100.055625,,15.2,London Marylebone Road,0,3,2023
2023-09-12,19.017357916666665,37.21111666666667,44.4496875,101.51390625,,17.2,London Marylebone Road,1,3,2023
2023-09-13,30.438763478260867,16.572820869565216,29.086630434782606,54.51456521739131,,13.7,London Marylebone Road,2,3,2023
2023-09-14,22.035854166666667,49.980350416666674,64.25203125,140.84765625,,15.9,London Marylebone Road,3,3,2023
2023-09-15,22.55141,34.56580125,63.4153125,116.375625,0.3313492307692308,20.6,London Marylebone Road,4,3,2023
2023-09-16,42.026115833333336,14.021730833333335,40.48921875,61.965,0.261945,19.7,London Marylebone Road,5,3,2023
2023-09-17,46.799164999999995,15.539279166666667,34.9509375,58.78546875,0.25175825,32.3,London Marylebone Road,6,3,2023
2023-09-18,21.778076249999998,42.8759375,48.76078125,114.51890625,0.28280358333333333,16.1,London Marylebone Road,0,3,2023
2023-09-19,27.89822291666667,33.5211875,34.57640625,85.98281250000001,0.2920201666666667,17.3,London Marylebone Road,1,3,2023
2023-09-20,31.673422083333335,34.170822916666665,42.1546875,94.53328125,0.3031770833333333,16.4,London Marylebone Road,2,3,2023
2023-09-21,15.400151666666666,56.949639166666664,60.084375,147.44578125,0.3516854166666667,16.5,London Marylebone Road,3,3,2023
2023-09-22,15.9157075,43.87213631578947,48.8291447368421,116.08875,0.28959475,13.7,London Marylebone Road,4,3,2023
2023-09-23,17.819937916666667,39.42507416666667,51.06375,111.530625,0.32985666666666663,15.3,London Marylebone Road,5,3,2023
2023-09-24,29.22037416666667,26.666234583333335,40.26609375,81.121875,0.27552733333333335,17.0,London Marylebone Road,6,3,2023
2023-09-25,25.411913333333334,40.500870416666665,49.111406249999995,111.211875,0.27164666666666665,21.4,London Marylebone Road,0,3,2023
2023-09-26,23.748829999999998,40.05911833333334,50.19515625,111.594375,0.28280358333333333,19.8,London Marylebone Road,1,3,2023
2023-09-27,26.06883125,34.72374739130435,47.180543478260866,100.42288043478261,0.26067956521739133,22.4,London Marylebone Road,2,3,2023
2023-09-28,26.51786375,46.82052375,49.14328125,120.94171875,0.3254909166666667,25.8,London Marylebone Road,3,3,2023
2023-09-29,20.314562916666667,29.337535416666668,43.7484375,88.708125,0.25806433333333334,15.9,London Marylebone Road,4,3,2023
