Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",
Latitude,,51.522530,,
Longitude,,-0.154611,,
Site Type,,Urban Traffic,,
Zone,,Greater London,,
Agglomeration,,Greater London Urban Area,,
Local Authority,,"Westminster",,
Date,Time,"Carbon monoxide",Status
2021-01-06,06:00:00,0.084034,V mgm-3
2021-01-06,07:00:00,0.074339,V mgm-3
2021-01-06,08:00:00,0.119588,V mgm-3
2021-01-06,09:00:00,0.113124,V mgm-3
2021-01-06,10:00:00,0.113124,V mgm-3
2021-01-06,11:00:00,0.129284,V mgm-3
2021-01-06,12:00:00,0.103428,V mgm-3
2021-01-06,13:00:00,0.228402,V mgm-3
2021-01-06,14:00:00,0.16807,V mgm-3
2021-01-06,15:00:00,0.197158,V mgm-3
2021-01-06,16:00:00,0.242407,V mgm-3
2021-01-06,17:00:00,0.310281,V mgm-3
2021-01-06,18:00:00,0.378155,V mgm-3
2021-01-06,19:00:00,0.32321,V mgm-3
2021-01-06,20:00:00,0.316746,V mgm-3
2021-01-06,21:00:00,0.303818,V mgm-3
2021-01-06,22:00:00,0.271496,V mgm-3
2021-01-06,23:00:00,0.297353,V mgm-3
2021-01-06,24:00:00,0.24564,V mgm-3
2021-01-07,01:00:00,0.11588,V mgm-3
2021-01-07,02:00:00,0.090129,V mgm-3
2021-01-07,03:00:00,0.093348,V mgm-3
2021-01-07,04:00:00,0.11588,V mgm-3
2021-01-07,05:00:00,0.11588,V mgm-3
2021-01-07,06:00:00,0.167382,V mgm-3
2021-01-07,07:00:00,0.20279,V mgm-3
2021-01-07,08:00:00,0.321887,V mgm-3
2021-01-07,09:00:00,0.325106,V mgm-3
2021-01-07,10:00:00,0.363733,V mgm-3
2021-01-07,11:00:00,0.379827,V mgm-3
2021-01-07,12:00:00,0.376608,V mgm-3
2021-01-07,13:00:00,0.434548,V mgm-3
2021-01-07,14:00:00,0.431329,V mgm-3
2021-01-07,15:00:00,0.42811,V mgm-3
2021-01-07,16:00:00,0.315449,V mgm-3
2021-01-07,17:00:00,0.498926,V mgm-3
2021-01-07,18:00:00,0.563303,V mgm-3
2021-01-07,19:00:00,0.521458,V mgm-3
2021-01-07,20:00:00,0.45708,V mgm-3
2021-01-07,21:00:00,0.534333,V mgm-3
2021-01-07,22:00:00,0.511801,V mgm-3
2021-01-07,23:00:00,0.469956,V mgm-3
2021-01-07,24:00:00,0.424891,V mgm-3
2021-01-08,01:00:00,0.42742,V mgm-3
2021-01-08,02:00:00,0.247904,V mgm-3
2021-01-08,03:00:00,0.237219,V mgm-3
2021-01-08,04:00:00,0.240424,V mgm-3
2021-01-08,05:00:00,0.266069,V mgm-3
2021-01-08,06:00:00,0.365444,V mgm-3
2021-01-08,07:00:00,0.39109,V mgm-3
2021-01-08,08:00:00,0.698832,V mgm-3
2021-01-08,09:00:00,0.490465,V mgm-3
2021-01-08,10:00:00,0.39109,V mgm-3
2021-01-08,11:00:00,0.451996,V mgm-3
2021-01-08,12:00:00,0.288509,V mgm-3
2021-01-08,13:00:00,0.182722,V mgm-3
2021-01-08,14:00:00,0.141049,V mgm-3
2021-01-08,15:00:00,0.19875,V mgm-3
2021-01-08,16:00:00,0.217984,V mgm-3
2021-01-08,17:00:00,0.208367,V mgm-3
2021-01-08,18:00:00,0.189134,V mgm-3
2021-01-08,19:00:00,0.173105,V mgm-3
2021-01-08,20:00:00,0.192339,V mgm-3
2021-01-08,21:00:00,0.214779,V mgm-3
2021-01-08,22:00:00,0.173105,V mgm-3
2021-01-08,23:00:00,0.14746,V mgm-3
2021-01-08,24:00:00,0.083347,V mgm-3
2021-01-09,01:00:00,0.153237,V mgm-3
2021-01-09,02:00:00,0.114927,V mgm-3
2021-01-09,03:00:00,0.098965,V mgm-3
2021-01-09,04:00:00,0.076618,V mgm-3
2021-01-09,05:00:00,0.095773,V mgm-3
2021-01-09,06:00:00,0.095773,V mgm-3
2021-01-09,07:00:00,0.153237,V mgm-3
2021-01-09,08:00:00,0.169199,V mgm-3
2021-01-09,09:00:00,0.194738,V mgm-3
2021-01-09,10:00:00,0.233047,V mgm-3
2021-01-09,11:00:00,0.229855,V mgm-3
2021-01-09,12:00:00,0.290511,V mgm-3
2021-01-09,13:00:00,0.379898,V mgm-3
2021-01-09,14:00:00,0.347974,V mgm-3
2021-01-09,15:00:00,0.335205,V mgm-3
2021-01-09,16:00:00,0.415015,V mgm-3
2021-01-09,17:00:00,0.571444,V mgm-3
2021-01-09,18:00:00,0.839607,V mgm-3
2021-01-09,19:00:00,1.024767,V mgm-3
2021-01-09,20:00:00,0.941764,V mgm-3
2021-01-09,21:00:00,0.976881,V mgm-3
2021-01-09,22:00:00,0.836415,V mgm-3
2021-01-09,23:00:00,0.581021,V mgm-3
2021-01-09,24:00:00,0.622522,V mgm-3
2021-01-10,01:00:00,0.300964,V mgm-3
2021-01-10,02:00:00,0.190752,V mgm-3
2021-01-10,03:00:00,0.152601,V mgm-3
2021-01-10,04:00:00,0.117631,V mgm-3
2021-01-10,05:00:00,0.095376,V mgm-3
2021-01-10,06:00:00,0.076301,V mgm-3
2021-01-10,07:00:00,0.123988,V mgm-3
2021-01-10,08:00:00,0.120809,V mgm-3
2021-01-10,09:00:00,0.130347,V mgm-3
2021-01-10,10:00:00,0.190752,V mgm-3
2021-01-10,11:00:00,0.178035,V mgm-3
2021-01-10,12:00:00,0.247977,V mgm-3
2021-01-10,13:00:00,0.282948,V mgm-3
2021-01-10,14:00:00,0.327457,V mgm-3
2021-01-10,15:00:00,0.311561,V mgm-3
2021-01-10,16:00:00,0.295665,V mgm-3
