Daily measurement data supplied by UK-air on 21/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Marylebone Road",
Latitude,51.522530,,
Longitude,-0.154611,,
Site Type,Urban Traffic,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Westminster",,
Date,"PM2.5 particulate matter (Daily measured)",Status
2021-07-02,12.657,V ugm-3 (GRAV EMFAB)
2021-07-03,6.13,V ugm-3 (GRAV EMFAB)
2021-07-04,4.958,V ugm-3 (GRAV EMFAB)
2021-07-05,4.749,V ugm-3 (GRAV EMFAB)
2021-07-06,4.271,V ugm-3 (GRAV EMFAB)
2021-07-07,5.962,V ugm-3 (GRAV EMFAB)
2021-07-08,6.967,V ugm-3 (GRAV EMFAB)
2021-07-09,7.51,V ugm-3 (GRAV EMFAB)
2021-07-10,5.795,V ugm-3 (GRAV EMFAB)
2021-07-11,7.646,V ugm-3 (GRAV EMFAB)
2021-07-12,4.438,V ugm-3 (GRAV EMFAB)
2021-07-13,5.962,V ugm-3 (GRAV EMFAB)
2021-07-14,5.146,V ugm-3 (GRAV EMFAB)
2021-07-15,4.1,V ugm-3 (GRAV EMFAB)
2021-07-16,8.125,V ugm-3 (GRAV EMFAB)
2021-07-17,3.598,V ugm-3 (GRAV EMFAB)
2021-07-18,5.188,V ugm-3 (GRAV EMFAB)
2021-07-19,9.205,V ugm-3 (GRAV EMFAB)
2021-07-20,9.375,V ugm-3 (GRAV EMFAB)
2021-07-21,13.389,V ugm-3 (GRAV EMFAB)
2021-07-22,11.674,V ugm-3 (GRAV EMFAB)
2021-07-23,7.708,V ugm-3 (GRAV EMFAB)
2021-07-24,11.423,V ugm-3 (GRAV EMFAB)
2021-07-25,10.083,V ugm-3 (GRAV EMFAB)
2021-07-26,7.699,V ugm-3 (GRAV EMFAB)
2021-07-27,0.583,V ugm-3 (GRAV EMFAB)
2021-07-28,3.625,V ugm-3 (GRAV EMFAB)
2021-07-29,6.276,V ugm-3 (GRAV EMFAB)
2021-07-30,6.042,V ugm-3 (GRAV EMFAB)
2021-07-31,4.958,V ugm-3 (GRAV EMFAB)
2021-08-01,4.333,V ugm-3 (GRAV EMFAB)
2021-08-02,5.5,V ugm-3 (GRAV EMFAB)
2021-08-03,No data,V ugm-3 (GRAV EMFAB)
2021-08-04,7.458,V ugm-3 (GRAV EMFAB)
2021-08-05,1.417,V ugm-3 (GRAV EMFAB)
2021-08-06,5.25,V ugm-3 (GRAV EMFAB)
2021-08-07,4.208,V ugm-3 (GRAV EMFAB)
2021-08-08,1.799,V ugm-3 (GRAV EMFAB)
2021-08-09,5.542,V ugm-3 (GRAV EMFAB)
2021-08-10,7.083,V ugm-3 (GRAV EMFAB)
2021-08-11,7.583,V ugm-3 (GRAV EMFAB)
2021-08-12,6.667,V ugm-3 (GRAV EMFAB)
2021-08-13,7.75,V ugm-3 (GRAV EMFAB)
2021-08-14,7.125,V ugm-3 (GRAV EMFAB)
2021-08-15,5.314,V ugm-3 (GRAV EMFAB)
2021-08-16,9.042,V ugm-3 (GRAV EMFAB)
2021-08-17,5.042,V ugm-3 (GRAV EMFAB)
2021-08-18,4.708,V ugm-3 (GRAV EMFAB)
2021-08-19,6.5,V ugm-3 (GRAV EMFAB)
2021-08-20,3.808,V ugm-3 (GRAV EMFAB)
2021-08-21,5.833,V ugm-3 (GRAV EMFAB)
2021-08-22,4.333,V ugm-3 (GRAV EMFAB)
2021-08-23,4.083,V ugm-3 (GRAV EMFAB)
2021-08-24,3.542,V ugm-3 (GRAV EMFAB)
2021-08-25,2.125,V ugm-3 (GRAV EMFAB)
2021-08-26,4.833,V ugm-3 (GRAV EMFAB)
2021-08-27,5.208,V ugm-3 (GRAV EMFAB)
2021-08-28,5.167,V ugm-3 (GRAV EMFAB)
2021-08-29,3.917,V ugm-3 (GRAV EMFAB)
2021-08-30,3,V ugm-3 (GRAV EMFAB)
2021-08-31,3.875,V ugm-3 (GRAV EMFAB)
2021-09-01,6.417,V ugm-3 (GRAV EMFAB)
2021-09-02,7.083,V ugm-3 (GRAV EMFAB)
2021-09-03,11.167,V ugm-3 (GRAV EMFAB)
2021-09-04,11.708,V ugm-3 (GRAV EMFAB)
2021-09-05,No data,V ugm-3 (GRAV EMFAB)
2021-09-06,No data,V ugm-3 (GRAV EMFAB)
2021-09-07,No data,V ugm-3 (GRAV EMFAB)
2021-09-08,20.502,V ugm-3 (GRAV EMFAB)
2021-09-09,8.452,V ugm-3 (GRAV EMFAB)
2021-09-10,6.569,V ugm-3 (GRAV EMFAB)
2021-09-11,7.167,V ugm-3 (GRAV EMFAB)
2021-09-12,6.36,V ugm-3 (GRAV EMFAB)
2021-09-13,5.958,V ugm-3 (GRAV EMFAB)
2021-09-14,11.042,V ugm-3 (GRAV EMFAB)
2021-09-15,9.038,V ugm-3 (GRAV EMFAB)
2021-09-16,12.208,V ugm-3 (GRAV EMFAB)
2021-09-17,10.084,V ugm-3 (GRAV EMFAB)
2021-09-18,13.473,V ugm-3 (GRAV EMFAB)
2021-09-19,18.625,V ugm-3 (GRAV EMFAB)
2021-09-20,No data,V ugm-3 (GRAV EMFAB)
2021-09-21,8.41,V ugm-3 (GRAV EMFAB)
2021-09-22,12.458,V ugm-3 (GRAV EMFAB)
2021-09-23,8.25,V ugm-3 (GRAV EMFAB)
2021-09-24,10.083,V ugm-3 (GRAV EMFAB)
2021-09-25,9.542,V ugm-3 (GRAV EMFAB)
2021-09-26,12.301,V ugm-3 (GRAV EMFAB)
2021-09-27,4.75,V ugm-3 (GRAV EMFAB)
2021-09-28,6.208,V ugm-3 (GRAV EMFAB)
2021-09-29,5.958,V ugm-3 (GRAV EMFAB)
2021-09-30,5.875,V ugm-3 (GRAV EMFAB)
2021-10-01,6.083,V ugm-3 (GRAV EMFAB)
2021-10-02,4.708,V ugm-3 (GRAV EMFAB)
2021-10-03,4.667,V ugm-3 (GRAV EMFAB)
2021-10-04,6.208,V ugm-3 (GRAV EMFAB)
2021-10-05,3.917,V ugm-3 (GRAV EMFAB)
2021-10-06,6.667,V ugm-3 (GRAV EMFAB)
2021-10-07,8.556,V ugm-3 (GRAV EMFAB)
2021-10-08,9.521,V ugm-3 (GRAV EMFAB)
2021-10-09,23.313,V ugm-3 (GRAV EMFAB)
2021-10-10,12.646,V ugm-3 (GRAV EMFAB)
2021-10-11,8.438,V ugm-3 (GRAV EMFAB)
2021-10-12,8.021,V ugm-3 (GRAV EMFAB)
2021-10-13,9.354,V ugm-3 (GRAV EMFAB)
2021-10-14,11.563,V ugm-3 (GRAV EMFAB)
2021-10-15,9.146,V ugm-3 (GRAV EMFAB)
2021-10-16,14.396,V ugm-3 (GRAV EMFAB)
2021-10-17,10.646,V ugm-3 (GRAV EMFAB)
2021-10-18,10.271,V ugm-3 (GRAV EMFAB)
2021-10-19,14.438,V ugm-3 (GRAV EMFAB)
2021-10-20,7.479,V ugm-3 (GRAV EMFAB)
2021-10-21,4.75,V ugm-3 (GRAV EMFAB)
2021-10-22,6.708,V ugm-3 (GRAV EMFAB)
2021-10-23,5.458,V ugm-3 (GRAV EMFAB)
2021-10-24,6.167,V ugm-3 (GRAV EMFAB)
2021-10-25,7.833,V ugm-3 (GRAV EMFAB)
2021-10-26,6.542,V ugm-3 (GRAV EMFAB)
2021-10-27,5.083,V ugm-3 (GRAV EMFAB)
2021-10-28,7.708,V ugm-3 (GRAV EMFAB)
2021-10-29,7.125,V ugm-3 (GRAV EMFAB)
2021-10-30,5.625,V ugm-3 (GRAV EMFAB)
2021-10-31,4.542,V ugm-3 (GRAV EMFAB)
2021-11-01,6.417,V ugm-3 (GRAV EMFAB)
2021-11-02,10.042,V ugm-3 (GRAV EMFAB)
2021-11-03,10.292,V ugm-3 (GRAV EMFAB)
2021-11-04,6.875,V ugm-3 (GRAV EMFAB)
2021-11-05,18.75,V ugm-3 (GRAV EMFAB)
2021-11-06,11.625,V ugm-3 (GRAV EMFAB)
2021-11-07,9.042,V ugm-3 (GRAV EMFAB)
2021-11-08,12.333,V ugm-3 (GRAV EMFAB)
2021-11-09,7.667,V ugm-3 (GRAV EMFAB)
2021-11-10,8.917,V ugm-3 (GRAV EMFAB)
2021-11-11,9.125,V ugm-3 (GRAV EMFAB)
2021-11-12,8.792,V ugm-3 (GRAV EMFAB)
2021-11-13,4,V ugm-3 (GRAV EMFAB)
2021-11-14,5.208,V ugm-3 (GRAV EMFAB)
2021-11-15,9.667,V ugm-3 (GRAV EMFAB)
2021-11-16,15,V ugm-3 (GRAV EMFAB)
2021-11-17,11.458,V ugm-3 (GRAV EMFAB)
2021-11-18,No data,V ugm-3 (GRAV EMFAB)
2021-11-19,No data,V ugm-3 (GRAV EMFAB)
2021-11-20,No data,V ugm-3 (GRAV EMFAB)
2021-11-21,No data,V ugm-3 (GRAV EMFAB)
2021-11-22,No data,V ugm-3 (GRAV EMFAB)
2021-11-23,No data,V ugm-3 (GRAV EMFAB)
2021-11-24,No data,V ugm-3 (GRAV EMFAB)
2021-11-25,No data,V ugm-3 (GRAV EMFAB)
2021-11-26,No data,V ugm-3 (GRAV EMFAB)
2021-11-27,No data,V ugm-3 (GRAV EMFAB)
2021-11-28,No data,V ugm-3 (GRAV EMFAB)
2021-11-29,No data,V ugm-3 (GRAV EMFAB)
2021-11-30,No data,V ugm-3 (GRAV EMFAB)
2021-12-01,No data,V ugm-3 (GRAV EMFAB)
2021-12-02,6.5,V ugm-3 (GRAV EMFAB)
2021-12-03,11.083,V ugm-3 (GRAV EMFAB)
2021-12-04,9.333,V ugm-3 (GRAV EMFAB)
2021-12-05,3.583,V ugm-3 (GRAV EMFAB)
2021-12-06,9.333,V ugm-3 (GRAV EMFAB)
2021-12-07,7.792,V ugm-3 (GRAV EMFAB)
2021-12-08,7.833,V ugm-3 (GRAV EMFAB)
2021-12-09,9.208,V ugm-3 (GRAV EMFAB)
2021-12-10,6.333,V ugm-3 (GRAV EMFAB)
2021-12-11,10.083,V ugm-3 (GRAV EMFAB)
2021-12-12,6.625,V ugm-3 (GRAV EMFAB)
2021-12-13,6.208,V ugm-3 (GRAV EMFAB)
2021-12-14,9.083,V ugm-3 (GRAV EMFAB)
2021-12-15,8.208,V ugm-3 (GRAV EMFAB)
2021-12-16,No data,V ugm-3 (GRAV EMFAB)
2021-12-17,No data,V ugm-3 (GRAV EMFAB)
2021-12-18,No data,V ugm-3 (GRAV EMFAB)
2021-12-19,No data,V ugm-3 (GRAV EMFAB)
2021-12-20,No data,V ugm-3 (GRAV EMFAB)
2021-12-21,No data,V ugm-3 (GRAV EMFAB)
2021-12-22,No data,V ugm-3 (GRAV EMFAB)
2021-12-23,No data,V ugm-3 (GRAV EMFAB)
2021-12-24,No data,V ugm-3 (GRAV EMFAB)
2021-12-25,No data,V ugm-3 (GRAV EMFAB)
2021-12-26,No data,V ugm-3 (GRAV EMFAB)
2021-12-27,No data,V ugm-3 (GRAV EMFAB)
2021-12-28,No data,V ugm-3 (GRAV EMFAB)
2021-12-29,No data,V ugm-3 (GRAV EMFAB)
2021-12-30,No data,V ugm-3 (GRAV EMFAB)
2021-12-31,No data,V ugm-3 (GRAV EMFAB)
2022-01-01,No data,V ugm-3 (GRAV EMFAB)
2022-01-02,No data,V ugm-3 (GRAV EMFAB)
2022-01-03,No data,V ugm-3 (GRAV EMFAB)
2022-01-04,No data,V ugm-3 (GRAV EMFAB)
2022-01-05,No data,V ugm-3 (GRAV EMFAB)
2022-01-06,No data,V ugm-3 (GRAV EMFAB)
2022-01-07,No data,V ugm-3 (GRAV EMFAB)
2022-01-08,No data,V ugm-3 (GRAV EMFAB)
2022-01-09,No data,V ugm-3 (GRAV EMFAB)
2022-01-10,No data,V ugm-3 (GRAV EMFAB)
2022-01-11,No data,V ugm-3 (GRAV EMFAB)
2022-01-12,No data,V ugm-3 (GRAV EMFAB)
2022-01-13,26.458,V ugm-3 (GRAV EMFAB)
2022-01-14,38.292,V ugm-3 (GRAV EMFAB)
2022-01-15,26.833,V ugm-3 (GRAV EMFAB)
2022-01-16,16.708,V ugm-3 (GRAV EMFAB)
2022-01-17,17.292,V ugm-3 (GRAV EMFAB)
2022-01-18,28.542,V ugm-3 (GRAV EMFAB)
2022-01-19,19.083,V ugm-3 (GRAV EMFAB)
2022-01-20,17.917,V ugm-3 (GRAV EMFAB)
2022-01-21,17.26,V ugm-3 (GRAV EMFAB)
2022-01-22,13,V ugm-3 (GRAV EMFAB)
2022-01-23,16.167,V ugm-3 (GRAV EMFAB)
2022-01-24,21.708,V ugm-3 (GRAV EMFAB)
2022-01-25,30,V ugm-3 (GRAV EMFAB)
2022-01-26,22.583,V ugm-3 (GRAV EMFAB)
2022-01-27,11.542,V ugm-3 (GRAV EMFAB)
2022-01-28,19.833,V ugm-3 (GRAV EMFAB)
2022-01-29,12.208,V ugm-3 (GRAV EMFAB)
2022-01-30,16.042,V ugm-3 (GRAV EMFAB)
2022-01-31,11.875,V ugm-3 (GRAV EMFAB)
2022-02-01,7.792,V ugm-3 (GRAV EMFAB)
2022-02-02,14.208,V ugm-3 (GRAV EMFAB)
2022-02-03,8.833,V ugm-3 (GRAV EMFAB)
2022-02-04,9.667,V ugm-3 (GRAV EMFAB)
2022-02-05,12.458,V ugm-3 (GRAV EMFAB)
2022-02-06,10.75,V ugm-3 (GRAV EMFAB)
2022-02-07,11.833,V ugm-3 (GRAV EMFAB)
2022-02-08,7.292,V ugm-3 (GRAV EMFAB)
2022-02-09,5.292,V ugm-3 (GRAV EMFAB)
2022-02-10,10.083,V ugm-3 (GRAV EMFAB)
2022-02-11,11.625,V ugm-3 (GRAV EMFAB)
2022-02-12,10.5,V ugm-3 (GRAV EMFAB)
2022-02-13,8.417,V ugm-3 (GRAV EMFAB)
2022-02-14,5.458,V ugm-3 (GRAV EMFAB)
2022-02-15,8.083,V ugm-3 (GRAV EMFAB)
2022-02-16,No data,V ugm-3 (GRAV EMFAB)
2022-02-17,13.208,V ugm-3 (GRAV EMFAB)
2022-02-18,11,V ugm-3 (GRAV EMFAB)
2022-02-19,8.458,V ugm-3 (GRAV EMFAB)
2022-02-20,6.917,V ugm-3 (GRAV EMFAB)
2022-02-21,17.542,V ugm-3 (GRAV EMFAB)
2022-02-22,11.292,V ugm-3 (GRAV EMFAB)
2022-02-23,11,V ugm-3 (GRAV EMFAB)
2022-02-24,13,V ugm-3 (GRAV EMFAB)
2022-02-25,11.792,V ugm-3 (GRAV EMFAB)
2022-02-26,16.167,V ugm-3 (GRAV EMFAB)
2022-02-27,9.667,V ugm-3 (GRAV EMFAB)
2022-02-28,14.875,V ugm-3 (GRAV EMFAB)
2022-03-01,12.917,V ugm-3 (GRAV EMFAB)
2022-03-02,23.208,V ugm-3 (GRAV EMFAB)
2022-03-03,23.292,V ugm-3 (GRAV EMFAB)
2022-03-04,9.458,V ugm-3 (GRAV EMFAB)
2022-03-05,12.667,V ugm-3 (GRAV EMFAB)
2022-03-06,11.708,V ugm-3 (GRAV EMFAB)
2022-03-07,12.042,V ugm-3 (GRAV EMFAB)
2022-03-08,22.5,V ugm-3 (GRAV EMFAB)
2022-03-09,10.708,V ugm-3 (GRAV EMFAB)
2022-03-10,No data,V ugm-3 (GRAV EMFAB)
2022-03-11,12.444,V ugm-3 (GRAV EMFAB)
2022-03-12,7.052,V ugm-3 (GRAV EMFAB)
2022-03-13,7.382,V ugm-3 (GRAV EMFAB)
2022-03-14,10.875,V ugm-3 (GRAV EMFAB)
2022-03-15,14.146,V ugm-3 (GRAV EMFAB)
2022-03-16,17.29,V ugm-3 (GRAV EMFAB)
2022-03-17,13.398,V ugm-3 (GRAV EMFAB)
2022-03-18,13.616,V ugm-3 (GRAV EMFAB)
2022-03-19,19.698,V ugm-3 (GRAV EMFAB)
2022-03-20,22.324,V ugm-3 (GRAV EMFAB)
2022-03-21,37.609,V ugm-3 (GRAV EMFAB)
2022-03-22,38.819,V ugm-3 (GRAV EMFAB)
2022-03-23,No data,V ugm-3 (GRAV EMFAB)
2022-03-24,No data,V ugm-3 (GRAV EMFAB)
2022-03-25,No data,V ugm-3 (GRAV EMFAB)
2022-03-26,No data,V ugm-3 (GRAV EMFAB)
