# Rank within each model (1 = highest permutation MAE increase), then average those ranks.
# Do not average raw importance. Missing model files are skipped. LSTM/GRU have none.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,rf_importance,xgb_rank,xgb_importance,cnn_lstm_rank,cnn_lstm_importance,transformer_rank,transformer_importance
30,day_of_year,10.0,4,13.0,2.0,0.0419593235351382,24.0,-0.0029046628289595,1.0,0.0316580377881772,13.0,0.0068028622862321
30,week_of_year,10.5,4,14.0,20.0,-0.0026982924725109,8.0,0.000120937538718,5.0,0.0116062454843133,9.0,0.0109796947429856
30,relative_humidity_min_pct,13.0,4,3.5,4.0,0.0140915509245092,3.0,0.016038498193204,31.0,-0.0128648497623489,14.0,0.0065533809135711
30,is_weekday,14.0,4,9.0,8.0,0.0004635563118186,10.0,0.0,18.0,1.372407229460748e-05,20.0,0.0003655758307905
30,quarter,14.0,4,22.0,34.0,-0.0186248255391084,10.0,0.0,2.0,0.0241227643598964,10.0,0.0091762680005107
30,is_weekend,14.25,4,13.5,11.0,-9.69037228817804e-05,16.0,-0.0001372417290053,8.0,0.0023886110282189,22.0,0.0002083391515697
30,quarter_num,15.25,4,21.0,32.0,-0.0151774350619304,10.0,0.0,4.0,0.0146163918940143,15.0,0.006424391288176
30,month_sin,15.5,4,19.0,17.0,-0.0019654735217159,21.0,-0.0011842479248961,22.0,-0.0022908938396151,2.0,0.0344296941632613
30,year,15.75,4,9.5,9.0,8.881784197001253e-17,10.0,0.0,19.0,0.0,25.0,0.0
30,precipitation_min_mm,16.0,4,10.0,10.0,-1.3322676295501878e-16,10.0,0.0,19.0,0.0,25.0,0.0
30,dow_sin,16.25,4,16.0,7.0,0.0020659162351468,25.0,-0.0036452193745599,10.0,0.0021816335989752,23.0,9.274126759972744e-05
30,week_cos,16.25,4,16.0,3.0,0.0278376513896729,29.0,-0.0089072225193782,25.0,-0.0062000203285661,8.0,0.0151099194273935
30,doy_sin,16.5,4,18.0,13.0,-0.0010326575338922,23.0,-0.002717989804502,27.0,-0.0082944370532898,3.0,0.0254048030874987
30,dow_cos,18.25,4,17.0,19.0,-0.0025142175659661,15.0,-2.2435616590277264e-05,11.0,0.0019699902574661,28.0,-0.0001054966492715
30,month,19.0,4,28.5,35.0,-0.0195929098764388,22.0,-0.0014763952729231,3.0,0.0234395439129677,16.0,0.0033640304814106
30,day_of_week_x,19.25,4,18.0,16.0,-0.00171891870399,20.0,-0.0003587614561982,12.0,0.0017100787378829,29.0,-0.000131778481557
30,season_code,19.25,4,12.0,15.0,-0.0015577548209969,9.0,5.585847500544361e-05,15.0,0.0010682283567762,38.0,-0.0110060044834092
30,day_of_week_y,19.75,4,19.0,21.0,-0.0036927626539235,17.0,-0.0001556521404288,17.0,0.0001851720419914,24.0,2.720893092078569e-05
30,wind_speed_min_knots,19.75,4,9.5,14.0,-0.0013643846616612,5.0,0.0012457022409952,29.0,-0.0104832134659504,31.0,-0.0017510358188488
30,month_cos,20.5,4,22.0,12.0,-0.0003071455694016,32.0,-0.0142186018521201,26.0,-0.0075487878613094,12.0,0.0076743393161251
30,week_sin,20.75,4,34.5,30.0,-0.0104910683883636,39.0,-0.0455644732178328,13.0,0.001476819831617,1.0,0.0346067411281554
30,wind_direction_deg,21.5,4,18.5,18.0,-0.0022122354114204,19.0,-0.0002681340286117,16.0,0.0006197492066171,33.0,-0.0042961921150421
30,relative_humidity_max_pct,22.25,4,24.5,22.0,-0.0043389605898684,27.0,-0.0042468455451691,21.0,-0.0013918589210266,19.0,0.0004848618554404
30,air_pressure_max_hpa,23.0,4,26.5,23.0,-0.0051834488114839,30.0,-0.0098535725599278,33.0,-0.0220196088384652,6.0,0.0164177512602847
30,precipitation_max_mm,23.0,4,23.0,28.0,-0.0077215515498482,18.0,-0.0002026478401915,28.0,-0.0088383487529943,18.0,0.0006265953174322
30,mean_wind_speed_knots,23.75,4,15.5,27.0,-0.0074181305701166,4.0,0.0035341313499175,32.0,-0.0193465561914827,32.0,-0.0017860838062713
30,wind_speed_max_knots,24.0,4,15.0,24.0,-0.0055574841545914,6.0,0.0003167633524911,36.0,-0.0246505748353342,30.0,-0.0017404606768494
30,pm25_rollstd3,26.75,4,27.5,29.0,-0.0079537960906848,26.0,-0.0039572562857304,35.0,-0.0226573873778139,17.0,0.0014934061698808
30,total_precipitation_mm,27.75,4,27.0,26.0,-0.0064416605218155,28.0,-0.0058808886362407,30.0,-0.0119918365223261,27.0,-5.523868375423291e-05
30,temperature_avg_c,28.25,4,35.0,36.0,-0.0205282322178088,34.0,-0.0224899788531002,6.0,0.005754282957544,37.0,-0.0085405384187957
30,mean_air_pressure_hpa,28.5,4,36.5,33.0,-0.018496307512952,40.0,-0.0532523230307119,37.0,-0.0250696046428311,4.0,0.0230180036484108
30,air_pressure_min_hpa,29.0,4,37.5,37.0,-0.0275495755373923,38.0,-0.0391944861983112,34.0,-0.0221965196434261,7.0,0.0156581768637265
30,temperature_min_c,29.0,4,29.0,25.0,-0.0063788974144981,33.0,-0.015172998648204,24.0,-0.0042757125154064,34.0,-0.0045550582968925
30,temperature_max_c,34.5,4,37.5,40.0,-0.0503481412668974,35.0,-0.0323078013894087,23.0,-0.0041251273255573,40.0,-0.0124241719980968
30,pm25_lag1,34.75,4,31.0,31.0,-0.0122112044374622,31.0,-0.0106174134494305,38.0,-0.0323439817903743,39.0,-0.0114531916166988
30,pm25_rollmean3,37.25,4,37.0,38.0,-0.0294472427268863,36.0,-0.0332099676417733,40.0,-0.0373898069424623,35.0,-0.0052436293777198
30,pm25_lag7,37.75,4,38.0,39.0,-0.0301512698281517,37.0,-0.0388225276884205,39.0,-0.0352732531198345,36.0,-0.0074038885136049
