# Average permutation-importance ranks. Rank 1 = most important.
# Trees: Random_Forest_multistep.ipynb and XG Boost-2_multistep.ipynb only (not Random_Forest.ipynb / XG Boost-2.ipynb).
# RF values: rf_results_path/rf_permutation_importance_{h}d.csv (direct model for lead h; sklearn n_repeats=20).
# XGB values: xgb_results_path/xgboost_feature_importance_across_horizons.csv columns '{h} Day' (same protocol).
# CNN-LSTM / PatchTST: cnn_lstm.ipynb and transformer.ipynb multi-output path models; plot top 15 only; unlisted = 16.
# LSTM/GRU (gru_lstm_multi_horizon_.ipynb) have no permutation run and are omitted.
# Day 1 has no neural ranks. Do not average raw importance across implementations.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,xgb_rank,cnn_lstm_rank,transformer_rank,rf_importance,xgb_importance
14,pm25_rollmean3,16.5,4,24.5,38,11,16,1,-0.008045,0.003838
14,is_weekday,17.0,4,22.5,26,19,7,16,0.000489,0.0
14,month_cos,17.0,4,23.0,15,31,11,11,0.009376,-0.001578
14,week_cos,17.25,4,22.0,6,38,16,9,0.045742,-0.00942
14,pm25_rollstd3,18.0,4,26.0,20,32,16,4,0.003251,-0.002101
14,quarter,18.0,4,27.0,35,19,2,16,-0.005978,0.0
14,precipitation_max_mm,18.5,4,21.0,18,24,16,16,0.004996,-1.2e-05
14,week_sin,18.5,4,26.0,16,36,16,6,0.005317,-0.00593
14,day_of_week_y,19.0,4,25.0,32,18,10,16,-0.001972,2.4e-05
14,mean_wind_speed_knots,19.75,4,23.5,33,14,16,16,-0.003911,0.00119
14,pm25_lag1,19.75,4,30.5,36,25,16,2,-0.007007,-3.3e-05
14,is_weekend,20.0,4,26.0,25,27,12,16,0.00112,-0.000601
14,year,20.0,4,24.0,29,19,16,16,0.0,0.0
14,pm25_lag7,20.25,4,35.0,37,33,8,3,-0.007713,-0.002786
14,precipitation_min_mm,20.25,4,24.5,30,19,16,16,-0.0,0.0
14,dow_cos,20.5,4,25.0,24,26,16,16,0.001136,-4.1e-05
14,relative_humidity_max_pct,20.5,4,26.5,23,30,16,13,0.002448,-0.001553
14,wind_speed_max_knots,20.75,4,25.5,22,29,16,16,0.002493,-0.000714
14,month_sin,21.75,4,34.5,34,35,13,5,-0.005029,-0.004458
